// BossAttackId,Name,AttackCoef,FlipDamage,DownDamage,PoisonIncidence,SealedIncidence,QuestionIncidence,ReduceMaxHpIncidence,BurningIncidence,Quake,CanParry,KnockBack,KnockBackG,ForwardKnockBack,AttackType,PhysicsAttr,MagicAttr,SpellBlast,HitSe,WeakSe,ResistSe
14,"汎用斬撃",1,250,25,0,0,0,0,0,False,True,0,0,False,0,1,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
15,"汎用打撃",1,250,25,0,0,0,0,0,False,True,0,0,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
16,"汎用刺突",1,250,25,0,0,0,0,0,False,True,0,0,False,0,3,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
17,"ファフニール攻撃１0_近距離噛みつき",0.8,50,1000,0,0,0,0,0,False,True,8,4,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
18,"ファフニール攻撃１１_尻尾背後攻撃",1,50,1000,0,0,0,0,0,False,True,8,4,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
19,"ファフニール攻撃１２_咆哮1",1,50,1000,0,0,0,0,0,False,False,8,4,False,1,0,1,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
20,"ファフニール攻撃１３_咆哮2",1,50,1000,0,0,0,0,0,False,False,8,4,False,1,0,1,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
21,"ファフニール攻撃１４_地上ブレス",1,50,1000,0,0,0,0,0,False,False,8,4,False,1,0,1,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
22,"ファフニール攻撃１５_地上走り1",1.5,50,1000,0,0,30,0,0,False,True,8,4,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
23,"ファフニール攻撃１６_地上ブレス始動用",1,50,1000,0,0,0,0,0,False,False,8,4,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
24,"ファフニール攻撃１７_左ステップ",1,50,1000,0,0,0,0,0,False,False,8,4,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
25,"ファフニール攻撃１８_右ステップ",1,50,1000,0,0,0,0,0,False,False,8,4,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
26,"ファフニール攻撃１９_地上ブレス始動用2",1,50,1000,0,0,0,0,0,False,False,8,4,False,1,0,1,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
27,"ファフニール攻撃２０_地上ブレス2",1,50,1000,0,0,0,0,0,False,False,8,4,False,1,0,1,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
28,"ファフニール攻撃２１_地上ブレス3",1,50,1000,0,0,0,0,0,False,False,8,4,False,1,0,1,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
29,"ファフニール攻撃２２_地上ブレス4",1,50,1000,0,0,0,0,0,False,False,8,4,False,1,0,1,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
30,"ファフニール攻撃２３_地上走り2",1.2,50,1000,0,0,30,0,0,False,True,8,4,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
31,"ファフニール攻撃２４_マルチ吹き飛ばし",0,1000,0,0,0,0,0,0,False,False,10,10,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
32,"ファフニール攻撃２５_離陸",1,50,1000,0,0,0,0,0,False,False,8,4,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
33,"ファフニール攻撃２６_突進",1,50,1000,0,0,0,0,0,False,True,10,5,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
34,"ファフニール攻撃２７_着陸",1.2,50,1000,0,0,0,0,0,True,False,12,6,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
35,"ファフニール攻撃２８_離陸2",1,50,1000,0,0,0,0,0,False,False,8,4,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
36,"ファフニール攻撃２９_突進2＆ブレス",1,50,1000,0,0,0,0,0,False,False,12,6,False,1,0,1,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
37,"ファフニール攻撃３０_着陸2",1.2,50,1000,0,0,0,0,0,True,False,12,6,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
38,"ファフニール攻撃３１_反転",1,50,1000,0,0,0,0,0,False,False,8,4,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
39,"ファフニール攻撃３２_離陸3",1.2,50,1000,0,0,0,0,0,False,False,8,4,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
40,"ファフニール攻撃３３_ブレス",1,50,1000,0,0,0,0,0,False,False,12,6,False,1,0,1,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
41,"ファフニール攻撃３４_着陸3",1.2,50,1000,0,0,0,0,0,True,False,12,6,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
