// CharaCommentId,Name,Hud,Multiplay,IsToPlayer,Priority,TextId,VoiceId,Forward,Backward,Once,CoolTime,WaitTime
14,"クエスト開始デモ",False,False,False,10,,"{0}_QUE_001",True,True,False,5,0
15,"クエスト開始デモ（サイト連動）",False,False,False,10,,"{0}_QUE_058",True,True,False,5,0
16,"クエスト開始デモ（水着）",False,False,False,10,,"{0}_SEA_001",True,True,False,5,0
17,"クエスト開始デモ（サンタ）",False,False,False,10,,"{0}_SEA_002",True,True,False,5,0
18,"クエスト開始デモ（制服）",False,False,False,10,,"{0}_SEA_003",True,True,False,5,0
19,"クエスト開始デモ（温泉）",False,False,False,10,,"{0}_SEA_004",True,True,False,5,0
20,"クエスト開始デモ（巫女）",False,False,False,10,,"{0}_SEA_005",True,True,False,5,0
21,"クエスト開始デモ（メイド・執事）",False,False,False,10,,"{0}_SEA_006",True,True,False,5,0
22,"クエスト開始デモ　ハイタッチ誘導",False,False,False,10,,"{0}_QUE_039",True,True,False,5,0
23,"クエスト開始デモ ハイタッチ誘導（サイト連動）",False,False,False,10,,"{0}_QUE_059",True,True,False,5,0
24,"クエスト開始デモ　ハイタッチ反応",False,False,False,10,,"{0}_QUE_040",True,True,False,5,0
25,"クエスト開始デモ ハイタッチ反応（信頼度MAX）",False,False,False,10,,"{0}_QUE_057",True,True,False,5,0
26,"クエスト開始デモ ハイタッチ反応（サイト連動）",False,False,False,10,,"{0}_QUE_040",True,True,False,5,0
27,"クエストスタート",True,False,True,10,"TXT_CH_COM_QUE_002_{0}","{0}_QUE_002",True,True,False,5,3
28,"活動限界警告",True,False,True,12,"TXT_CH_COM_QUE_003_{0}","{0}_QUE_003",True,True,False,5,3
29,"クエストクリア",True,False,True,10,"TXT_CH_COM_QUE_004_{0}","{0}_QUE_004",True,True,False,5,3
30,"クエスト終了デモ",False,False,False,10,,"{0}_QUE_006",True,True,False,5,0
31,"活動限界到達",True,False,True,11,"TXT_CH_COM_QUE_007_{0}","{0}_QUE_007",True,True,False,5,4
32,"ミッション失敗",True,False,True,30,"TXT_CH_COM_QUE_009_{0}","{0}_QUE_009",True,True,False,10,4
33,"ミッション発生",True,False,True,30,"TXT_CH_COM_QUE_042_{0}","{0}_QUE_042",True,True,False,10,4
35,"ミッションクリア（ボイスなし）",True,False,True,30,"TXT_CH_COM_QUE_045_{0}","{0}_QUE_045",True,True,False,10,4
36,"指揮官発見",True,False,True,93,"TXT_CH_COM_QUE_012_{0}","{0}_QUE_012",True,False,False,20,4
37,"ボスを発見",True,False,True,13,"TXT_CH_COM_QUE_014_{0}","{0}_QUE_014",True,False,False,20,4
38,"宝箱発見",True,False,True,81,"TXT_CH_COM_QUE_024_{0}","{0}_QUE_024",True,False,False,15,4
41,"宝箱獲得（ボイスなし）",True,False,True,50,"TXT_CH_COM_QUE_051_{0}","{0}_QUE_051",True,True,False,15,4
42,"宝箱経験値達成（ボイスなし）",True,False,True,50,"TXT_CH_COM_QUE_053_{0}","{0}_QUE_053",True,True,False,15,4
43,"キャラスキル取得",True,False,True,40,"TXT_CH_COM_QUE_019_{0}","{0}_QUE_019",True,True,False,15,4
44,"討伐提案",True,False,True,14,"TXT_CH_COM_QUE_020_{0}","{0}_QUE_020",True,True,True,5,4
45,"ミッションキャンセル",True,False,True,30,"TXT_CH_COM_QUE_021_{0}","{0}_QUE_021",True,True,False,15,4
46,"指揮官を遠方に発見",True,False,True,82,"TXT_CH_COM_QUE_022_{0}","{0}_QUE_022",True,False,False,50,3
47,"ボスを遠方に発見",True,False,True,80,"TXT_CH_COM_QUE_023_{0}","{0}_QUE_023",True,False,False,20,3
48,"フラグメントLLを遠方に発見",True,False,True,51,"TXT_CH_COM_QUE_024_{0}","{0}_QUE_024",True,False,False,20,3
49,"グリード出現",True,False,True,41,"TXT_CH_COM_QUE_025_{0}","{0}_QUE_025",True,False,False,20,3
50,"ハニースライム出現",True,False,True,41,"TXT_CH_COM_QUE_026_{0}","{0}_QUE_026",True,False,False,20,3
51,"グリード逃走",True,False,True,41,"TXT_CH_COM_QUE_027_{0}","{0}_QUE_027",True,True,False,30,3
52,"ハニースライム逃走",True,False,True,41,"TXT_CH_COM_QUE_028_{0}","{0}_QUE_028",True,True,False,30,3
53,"グリード撃破",True,False,True,41,"TXT_CH_COM_QUE_029_{0}","{0}_QUE_029",True,True,False,30,3
54,"ハニースライム撃破",True,False,True,35,"TXT_CH_COM_QUE_030_{0}","{0}_QUE_030",True,True,False,30,3
55,"ヒールスポットを発見（重症：HP40％以下）",True,False,True,56,"TXT_CH_COM_QUE_031_{0}","{0}_QUE_031",True,False,False,60,4
56,"ヒールスポットを発見（中傷：HP41％～HP70%）",True,False,True,85,"TXT_CH_COM_QUE_032_{0}","{0}_QUE_032",True,False,False,60,4
57,"ヒールスポットを発見（軽傷：HP71%以上）",True,False,True,94,"TXT_CH_COM_QUE_033_{0}","{0}_QUE_033",True,False,False,60,4
58,"ヒールスポットを発見（無傷）",True,False,True,98,"TXT_CH_COM_QUE_034_{0}","{0}_QUE_034",True,False,False,60,3
59,"ヒールスポットで全快",True,True,True,27,"TXT_CH_COM_QUE_035_{0}","{0}_QUE_035",True,True,False,30,3
60,"エスケープスポットを発見",True,False,True,92,"TXT_CH_COM_QUE_036_{0}","{0}_QUE_036",True,False,False,20,4
