// ChatEventStoryId,EventId,ReleaseConditionType,ReleaseConditionValue,DisplayName,FirstRewardVp
10101,2010,1,0,"謎の観測(13)",50
10102,2013,1,0,"今回のお礼(3)",50
10201,2011,2,1600,"アリス君(14)",50
10202,2011,2,10300,"何者なのかしら(8)",50
10203,2011,2,19300,"必要なことは…(3)",50
10204,2011,2,36800,"剣が樹になるの！？(5)",50
10205,2011,2,82000,"雨縁の様子は？(9)",50
10301,2012,2,1600,"ユージオ君(14)",50
10302,2012,2,10300,"アインクラッド流(4)",50
10303,2012,2,19300,"尊敬しちゃうな(5)",50
10304,2012,2,36800,"ずりぃぞ！(8)",50
10305,2012,2,82000,"事実確認(6)",50
20101,2017,1,0,"相談させてくれ(2)",50
20102,2017,2,550,"紹介するわね！(9)",50
20103,2017,2,10740,"リズとスズネって？(4)",50
20104,2017,2,19780,"久しぶりだな！(5)",50
20105,2017,2,30950,"何をしてるの(5)",50
20106,2017,2,83600,"すっごく可愛い！(7)",50
20201,2019,1,0,"奇妙な反応(16)",50
20202,2019,2,401,"イベント開幕です！(10)",50
20203,2019,2,3701,"偵察おつかれ！(12)",50
20204,2019,2,14401,"難しいです～(10)",50
20205,2019,2,29701,"当日が待ち遠しいぜ(5)",50
20206,2019,2,79001,"楽しかったぁ～！(16)",50
20701,2021,1,0,"1周年！(17)",50
20702,2021,2,401,"一体何が？(15)",50
20703,2021,2,3701,"歩いてみたよ(10)",50
20704,2021,2,14501,"不思議な空間(11)",50
20705,2021,2,30001,"帰れるよ！(14)",50
20706,2021,2,79601,"一連の事件について(14)",50
20801,2023,1,0,"集中調査依頼１(3)",50
20802,2024,1,0,"調査を終えて(3)",50
20901,2025,1,0,"来たァ～～！！(11)",50
20902,2025,2,441,"色々ありますね(14)",50
20903,2025,2,3801,"仲間は決まった？(15)",50
20904,2025,2,15061,"なんだよォ！(15)",50
20905,2025,2,30201,"反則だろ！？(13)",50
20906,2025,2,80201,"優勝です！(10)",50
21001,2026,1,0,"調査を頼みたい(8)",50
21002,2026,2,441,"シリカのこと(2)",50
21003,2026,2,3801,"どうして…(8)",50
21004,2026,2,15061,"このアバターって(7)",50
21005,2026,2,30201,"OSとは(4)",50
21006,2026,2,80201,"無事でした！(9)",50
21101,2027,1,0,"集中調査依頼２(3)",50
21102,2028,1,0,"調査を終えて(3)",50
21201,2029,1,0,"今年のクリスマス(12)",50
21202,2029,2,441,"プレゼントの中身(12)",50
21203,2029,2,3801,"リコにとっても(9)",50
21204,2029,2,15061,"さっきはありがと！(3)",50
21205,2029,2,30201,"作戦共有(5)",50
21206,2029,2,80201,"作戦完了だ(9)",50
21301,2030,1,0,"集中調査依頼３(3)",50
21302,2031,1,0,"調査を終えて(3)",50
21401,2032,1,0,"祝！2周年！！(19)",50
21402,2032,2,441,"話があるんだ(12)",50
21403,2032,2,3801,"どうですか？(11)",50
21404,2032,2,15061,"おーい(3)",50
21405,2032,2,30201,"場所、決まったぞ(10)",50
21406,2032,2,80201,"楽しかったね！(18)",50
21501,2033,1,0,"集中調査依頼４(3)",50
21502,2034,1,0,"調査を終えて(3)",50
21601,2035,1,0,"出演おめでとう！(8)",50
21602,2035,2,441,"ご教示願えますか(5)",50
21603,2035,2,3801,"アイドルよ永遠なれ(4)",50
21604,2035,2,15061,"難しそうです…(4)",50
21605,2035,2,30201,"忠告だヨ(5)",50
21606,2035,2,80201,"みんなありがとう！(7)",50
21701,2036,1,0,"すっかり夏になりました(12)",50
21702,2036,2,441,"一歩遅れたみたいだ(6)",50
21703,2036,2,3801,"手強い相手だわ(9)",50
21704,2036,2,15061,"今年こそ二人で(5)",50
21705,2036,2,30201,"気になったんだけど(4)",50
21706,2036,2,80201,"やっぱり海に行きてェ！(10)",50
21801,2037,1,0,"肌寒い季節だね(4)",50
21802,2037,2,441,"原因は分かったかい？(5)",50
21803,2037,2,3801,"カジノってどんな所？(4)",50
21804,2037,2,15061,"再現ってことは…(9)",50
21805,2037,2,30201,"遊び足りないわ(9)",50
21806,2037,2,80201,"解決して何より！(9)",50
21901,2038,1,0,"集中調査依頼５(3)",50
21902,2039,1,0,"調査を終えて(3)",50
22001,2040,1,0,"お願いがあるの(3)",50
22002,2040,2,441,"クリスマスは残酷(4)",50
22003,2040,2,3801,"サンタ殿の神聖術(7)",50
22004,2040,2,15061,"お願いがあるの(7)",50
22005,2040,2,30201,"パーティーにご招待！(12)",50
22006,2040,2,80201,"プレゼントありがとう(11)",50
22101,2041,1,0,"知ってる？あの噂(5)",50
22102,2041,2,441,"連絡は届いてるかな？(5)",50
22103,2041,2,3801,"今気付いた！(3)",50
22104,2041,2,15061,"当日もそろそろだな(5)",50
22105,2041,2,30201,"肝試しチャンスかな！(4)",50
22106,2041,2,80201,"肝試しチャンスかも？(9)",50
22201,2042,1,0,"緊急事態だ！(3)",50
22202,2042,2,441,"信じられないよ(10)",50
22203,2042,2,3801,"情報を共有しよう(4)",50
22204,2042,2,15061,"夏の風物詩だわ(12)",50
22205,2042,2,30201,"サプライズは成功ね(14)",50
22206,2042,2,80201,"様子はどうだ？(12)",50
22207,2043,1,0,"調査、お疲れさま！(15)",50
22301,2044,1,0,"集中調査依頼６(3)",50
22302,2045,1,0,"調査を終えて(3)",50
