// ChatMainStoryId,ReleaseConditionType,ReleaseConditionValue,DisplayName,FirstRewardVp
10101,1,10001,"Unknown調査概要（11）",50
10102,1,10001,"相談事項（3）",50
10103,1,10001,"お疲れ様でした！（4）",50
10201,1,10002,"懐かしいよなぁ（4）",50
10301,1,10003,"リコちゃんについて（12）",50
10302,1,10003,"相談事項2（3）",50
10501,1,10005,"助かるわね！（5）",50
10601,1,10006,"当時のALOと言えばさ（3）",50
10801,1,10008,"視界不良はつらいな（5）",50
10901,1,10009,"聞きたいことが…（7）",50
11101,1,10011,"メモリが一杯だって？（9）",50
11201,1,10012,"年末のクエスト（10）",50
11301,1,10013,"二刀流といえば（5）",50
11401,1,10014,"どういうことかしら（7）",50
11501,1,10015,"ザ・シードについて（3）",50
11601,1,10016,"まーたあの二人は（9）",50
11701,1,10017,"ついにボス戦ね（6）",50
11801,1,10018,"おさらいしましょうか（5）",50
19901,2,5,"あれは何だ？（5）",50
20101,1,20001,"第二チャンク到達(12)",50
20102,1,20001,"シリカちゃんとピナ(7)",50
20201,1,20002,"紹介させてもらうよ(7)",50
20301,1,20003,"最近よく見る気が(10)",50
20501,1,20005,"捨てたもんじゃないな(5)",50
20601,1,20006,"もう一人の協力者だ(9)",50
20701,1,20007,"ついに開催です！(7)",50
20801,1,20008,"質問していいかしら(3)",50
20901,1,20009,"話ってなんだい(11)",50
21001,1,20010,"ALO事件について(6)",50
21101,1,20011,"ちょっといいカ(6)",50
21201,1,20012,"死銃とは(4)",50
21301,1,20013,"いよいよですね(5)",50
21401,1,20014,"整理しておこう(11)",50
19902,2,51,"相談事項3(4)",50
10502,1,10005,"頼みがあるんだ (12)",50
30401,3,30004,"ご教授願えますか(5)",50
30701,3,30007,"話題になってるな(6)",50
30801,3,30008,"圏内事件について(5)",50
31401,3,30014,"迷いの森(2)",50
31701,3,30017,"第三C攻略完了(13)",50
31702,3,30017,"大丈夫かな…(5)",50
40101,3,40001,"第四チャンクだな(5)",50
41001,3,40010,"DDosって…？(4)",50
41301,3,40013,"確認したいわ(8)",50
41401,3,40014,"茅場の遺したもの(3)",50
41601,3,40016,"改めて紹介するよ(4)",50
42301,3,40023,"第四C攻略お疲れ様(12)",50
42302,3,40023,"申し訳ございません(5)",50
