// DefragMatchBossTableId,DefragMatchBossTableSubId,Wave,Type,UnitId,Rate
1,1,1,0,15100101,3
2,1,1,0,15300001,2
3,1,1,0,15040701,2
4,1,1,0,15090101,2
5,1,1,0,15110101,2
6,1,1,0,15100001,2
7,1,1,0,15080201,2
8,1,2,0,15020201,3
9,1,2,0,15420001,2
10,1,2,0,15050001,2
11,1,2,0,15180001,2
12,1,2,0,15041101,2
13,1,2,0,15020101,2
14,1,2,0,15301001,2
15,1,2,0,15170101,2
16,1,2,1,15220101,3
17,1,2,1,15501001,2
18,1,2,1,15521001,1
19,1,2,1,15570001,1
20,1,3,2,15010201,2
21,1,3,2,15040001,1
22,1,3,2,15040202,1
23,1,3,2,15200101,1
24,1,3,2,15450003,1
25,1,0,3,15590000,1
26,2,1,0,15100001,4
27,2,1,0,15110001,4
28,2,1,0,15040101,2
29,2,1,0,15041101,2
30,2,1,0,15050001,2
31,2,1,0,15050201,2
32,2,1,0,15080201,3
33,2,1,0,15090101,3
34,2,1,0,15140101,3
35,2,1,0,15180001,2
36,2,1,0,15300001,3
37,2,1,0,15420001,3
38,2,1,1,15220101,1
39,2,1,2,15010201,1
40,2,1,2,15040001,2
41,2,1,2,15040202,2
42,2,1,2,15200101,1
43,2,1,2,15450003,1
44,3,1,0,15110101,3
45,3,1,0,15140101,3
46,3,1,0,15040701,2
47,3,1,0,15090101,2
48,3,1,0,15300001,2
49,3,1,0,15100001,2
50,3,1,0,15080201,2
51,3,2,0,15100201,3
52,3,2,0,15420001,2
53,3,2,0,15041101,2
54,3,2,0,15050201,2
55,3,2,0,15050001,2
56,3,2,0,15020101,2
57,3,2,0,15301001,2
58,3,2,0,15170101,2
59,3,2,1,15220101,3
60,3,2,1,15501001,2
61,3,2,1,15521001,1
62,3,2,1,15570001,1
63,3,3,2,15010201,1
64,3,3,2,15040001,1
65,3,3,2,15040202,1
66,3,3,2,15200101,2
67,3,3,2,15450003,2
68,4,1,0,15560001,3
69,4,1,0,15300001,2
70,4,1,0,15100101,2
71,4,1,0,15080201,2
72,4,1,0,15110101,2
73,4,1,0,15100001,2
74,4,1,0,15040701,2
75,4,2,0,15180001,3
76,4,2,0,15040101,2
77,4,2,0,15020201,2
78,4,2,0,15050001,2
79,4,2,0,15041101,2
80,4,2,0,15020101,2
81,4,2,0,15301001,2
82,4,2,0,15170101,2
83,4,2,1,15220101,3
84,4,2,1,15501001,2
85,4,2,1,15521001,1
86,4,2,1,15570001,1
87,4,3,2,15010201,2
