// DefragMatchChatId,ChatType,TypeNo,DisplayName,TextId,VoiceId
100,1,0,"やった","TXT_CHAT_025_{0}","{0}_CHAT_025"
101,1,1,"MVPはもらった","TXT_CHAT_031_{0}","{0}_CHAT_031"
102,1,2,"良い勝負だな","TXT_CHAT_029_{0}","{0}_CHAT_029"
103,1,3,"しまった","TXT_CHAT_026_{0}","{0}_CHAT_026"
200,2,0,"強敵に挑もう","TXT_CHAT_032_{0}","{0}_CHAT_032"
201,2,1,"協力しよう","TXT_CHAT_030_{0}","{0}_CHAT_030"
300,3,0,"YES","TXT_CHAT_033_{0}","{0}_CHAT_033"
301,3,1,"NO","TXT_CHAT_034_{0}","{0}_CHAT_034"
400,4,0,"よろしく","TXT_CHAT_019_{0}","{0}_CHAT_019"
401,4,1,"やるな","TXT_CHAT_028_{0}","{0}_CHAT_028"
402,4,2,"すごいな","TXT_CHAT_027_{0}","{0}_CHAT_027"
403,4,3,"ありがとう","TXT_CHAT_016_{0}","{0}_CHAT_016"
