// DefragMatchCpuSupportLogId,AppearanceStartDefragMatchId,AppearanceEndDefragMatchId,AppearanceStartClassNum,AppearanceEndClassNum,SupportLogId,AwakeningStage,Memo
1,1,999,1,5,0,0,
2,1,999,1,5,201000010,0,
3,1,999,1,5,292000010,0,
4,1,999,1,5,299000020,0,
5,1,999,1,5,299000040,0,
6,1,999,1,5,299000160,0,
7,1,999,3,8,299000110,0,
8,1,999,3,8,299000050,3,
9,1,999,3,8,299000070,3,
10,1,999,3,8,299000060,3,
11,1,999,3,8,298000050,3,
12,1,999,6,10,208000010,3,
13,1,999,6,10,218000010,3,
14,1,999,6,10,202000010,3,
15,1,999,6,10,299000080,5,
16,1,999,6,10,299000030,5,
17,1,999,6,10,298000040,5,
18,1,999,6,10,298000060,5,
19,1,999,6,10,204000010,5,
20,1,999,6,10,298000030,5,
21,1,999,6,10,298000010,5,
