// DefragMatchGradeId,DefragMatchId,ClassNum,GradeName,ClassName,PromotionLineLeagueScore,DemotionLineLeagueScore,LeagueScoreDecreaseFlag,TargetLeaguePoint1,TargetLeaguePoint2,MvpAddLeaguePoint,MobLevel,NormalBossLevel,AdaptableLevel,PunisherLevel,PunisherAppearanceRate,CpuLevel,RecordMedalDropNum,TargetLeaguePointCoefficient,RewardTableSubId
1,1,1,"スタンダードリーグ・ゲスト","Guest",5,0,False,1000,2000,500,10,10,10,100,0,20,6,0,300000
2,1,2,"スタンダードリーグ・クラスフォース","Class Fourth",10,0,False,2000,4000,1000,15,15,15,100,0,35,6,0,300000
3,1,3,"スタンダードリーグ・クラスサード","Class Third",20,0,False,3000,6000,1500,20,20,20,100,0,40,8,10,300000
4,1,4,"スタンダードリーグ・クラスセカンド","Class Second",30,0,False,4000,8000,2000,30,30,30,100,0,50,8,10,300000
5,1,5,"スタンダードリーグ・クラスファースト","Class First",50,0,False,5000,10000,2500,40,40,40,100,0,60,8,20,300000
6,1,6,"アドミンリーグ・クラスフィフス","Class Fifth",80,45,True,6500,13000,4000,50,50,50,100,5,70,8,30,300000
7,1,7,"アドミンリーグ・クラスフォース","Class Fourth",130,75,True,8000,16000,5000,60,60,60,100,10,80,10,30,300000
8,1,8,"アドミンリーグ・クラスサード","Class Third",200,125,True,10000,20000,6500,70,70,70,100,15,90,10,40,300000
9,1,9,"アドミンリーグ・クラスセカンド","Class Second",300,195,True,12000,24000,8000,80,80,80,100,20,100,10,40,300000
10,1,10,"アドミンリーグ・クラスファースト","Class First",30000,295,True,15000,30000,10000,90,90,90,100,30,100,10,50,300000
11,2,1,"スタンダードリーグ・ゲスト","Guest",5,0,False,1000,2000,500,10,10,10,100,0,20,8,0,300000
12,2,2,"スタンダードリーグ・クラスフォース","Class Fourth",10,0,False,1500,3000,1000,15,15,15,100,0,35,8,0,300000
13,2,3,"スタンダードリーグ・クラスサード","Class Third",20,0,False,2000,4000,1500,20,20,20,100,0,40,8,10,300000
14,2,4,"スタンダードリーグ・クラスセカンド","Class Second",30,0,False,2500,5000,2000,30,30,30,100,0,50,8,10,300000
15,2,5,"スタンダードリーグ・クラスファースト","Class First",50,0,False,3000,6000,2500,40,40,40,100,0,60,10,20,300000
