// DefragMatchPeriodBonusId,DefragMatchId,BonusType,Param1,Param2,Param3,StartDate,EndDate,Memo
1,2,0,"10","0","0","2019/06/25 7:00:00","2019/06/26 2:00:00","リーグポイント獲得量：10%UP"
2,2,1,"1","0","0","2019/06/26 7:00:00","2019/06/27 2:00:00","リーグスコア獲得量：1UP"
3,2,2,"40","0","0","2019/06/27 7:00:00","2019/06/28 2:00:00","制限時間：40カウント延長"
7,2,3,"20","0","0","2019/07/01 7:00:00","2019/07/02 2:00:00","サポートログクールタイム：20%短縮"
8,2,4,"30","0","0","2019/07/02 7:00:00","2019/07/03 2:00:00","アダプタブル出現率：30%UP"
9,2,5,"30","0","0","2019/07/03 7:00:00","2019/07/04 2:00:00","パニッシャー出現率：30%UP"
10,2,0,"20","0","0","2019/07/04 7:00:00","2019/07/05 2:00:00","リーグポイント獲得量：20%UP"
12,2,3,"20","0","0","2019/07/06 7:00:00","2019/07/07 2:00:00","サポートログクールタイム：20%短縮"
13,2,4,"30","0","0","2019/07/07 7:00:00","2019/07/08 2:00:00","アダプタブル出現率：30%UP"
14,2,1,"1","0","0","2019/07/08 7:00:00","2019/07/09 2:00:00","リーグスコア獲得量：1UP"
15,2,2,"40","0","0","2019/07/09 7:00:00","2019/07/10 2:00:00","制限時間：40カウント延長"
16,2,3,"20","0","0","2019/07/10 7:00:00","2019/07/11 2:00:00","サポートログクールタイム：20%短縮"
17,2,4,"40","0","0","2019/07/11 7:00:00","2019/07/12 2:00:00","アダプタブル出現率：40%UP"
18,2,5,"40","0","0","2019/07/12 7:00:00","2019/07/13 2:00:00","パニッシャー出現率：40%UP"
20,2,5,"30","0","0","2019/07/14 7:00:00","2019/07/15 2:00:00","パニッシャー出現率：30%UP"
21,2,0,"20","0","0","2019/07/15 7:00:00","2019/07/16 2:00:00","リーグポイント獲得量：20%UP"
22,2,0,"10","0","0","2019/07/16 7:00:00","2019/07/17 2:00:00","リーグポイント獲得量：10%UP"
23,2,1,"1","0","0","2019/07/17 7:00:00","2019/07/18 2:00:00","リーグスコア獲得量：1UP"
24,2,2,"40","0","0","2019/07/18 7:00:00","2019/07/19 2:00:00","制限時間：40カウント延長"
25,2,3,"20","0","0","2019/07/19 7:00:00","2019/07/20 2:00:00","サポートログクールタイム：20%短縮"
26,2,1,"1","0","0","2019/07/20 7:00:00","2019/07/21 2:00:00","リーグスコア獲得量：1UP"
27,2,2,"40","0","0","2019/07/21 7:00:00","2019/07/22 2:00:00","制限時間：40カウント延長"
28,2,4,"50","0","0","2019/07/22 7:00:00","2019/07/23 2:00:00","アダプタブル出現率：50%UP"
29,2,5,"50","0","0","2019/07/23 7:00:00","2019/07/24 2:00:00","パニッシャー出現率：50%UP"
32,1,0,"20","0","0","2019/07/25 7:00:00","2019/07/26 2:00:00","リーグポイント獲得量：20%UP"
33,1,1,"1","0","0","2019/07/26 7:00:00","2019/07/27 2:00:00","リーグスコア獲得量：1UP"
34,1,4,"30","0","0","2019/07/27 7:00:00","2019/07/28 2:00:00","アダプタブル出現率：30%UP"
36,1,3,"20","0","0","2019/07/29 7:00:00","2019/07/30 2:00:00","サポートログクールタイム：20%短縮"
37,1,0,"20","0","0","2019/07/30 7:00:00","2019/07/31 2:00:00","リーグポイント獲得量：20%UP"
38,1,1,"1","0","0","2019/07/31 7:00:00","2019/08/01 2:00:00","リーグスコア獲得量：1UP"
39,1,3,"20","0","0","2019/08/01 7:00:00","2019/08/02 2:00:00","サポートログクールタイム：20%短縮"
40,1,0,"20","0","0","2019/08/02 7:00:00","2019/08/03 2:00:00","リーグポイント獲得量：20%UP"
41,1,4,"30","0","0","2019/08/03 7:00:00","2019/08/04 2:00:00","アダプタブル出現率：30%UP"
43,1,1,"1","0","0","2019/08/05 7:00:00","2019/08/06 2:00:00","リーグスコア獲得量：1UP"
44,2,0,"20","0","0","2019/08/06 7:00:00","2019/08/07 2:00:00","リーグポイント獲得量：20%UP"
45,2,0,"20","0","0","2019/08/07 7:00:00","2019/08/08 2:00:00","リーグポイント獲得量：20%UP"
