// DefragMatchRandomBonusId,DefragMatchId,DefragMatchRandomBonusConditionId,Name,ConditionValue1,ConditionValue2,GetLeaguePoint,RandomBonusNum,Memo
1,1,1,"ファーストアタック3回",3,0,3000,1,
2,1,2,"ラストアタック3回",3,0,3000,1,
3,1,12,"中間1位2回",1,2,3000,1,
4,1,3,"指揮官2体",2,0,3000,1,
5,1,4,"モブ60",60,0,600,2,
6,1,4,"モブ40",40,0,400,2,
7,1,5,"メダル5枚",5,0,600,2,
8,1,5,"メダル3枚",3,0,400,2,
9,1,6,"結晶3つ",3,0,600,2,
10,1,6,"結晶2つ",2,0,400,2,
11,1,7,"スキルLv5",5,0,600,2,
12,1,7,"スキルLv3",3,0,400,2,
13,1,9,"コンボ30",30,0,600,2,
14,1,9,"コンボ20",20,0,400,2,
15,1,4,"モブ20",20,0,200,3,
16,1,4,"モブ10",10,0,100,3,
17,1,8,"アクセラ10回",10,0,200,3,
18,1,8,"アクセラ5回",5,0,100,3,
19,1,9,"コンボ10",10,0,200,3,
20,1,9,"コンボ5",5,0,100,3,
21,1,10,"サポスキ2",2,0,200,3,
22,1,10,"サポスキ1",1,0,100,3,
23,1,11,"シンクロ１",1,0,100,3,
24,2,1,"ファーストアタック3回",3,0,3000,1,
25,2,2,"ラストアタック3回",3,0,3000,1,
26,2,12,"中間1位2回",1,2,3000,1,
27,2,3,"指揮官2体",2,0,3000,1,
28,2,4,"モブ60",60,0,600,2,
29,2,4,"モブ40",40,0,400,2,
30,2,5,"メダル5枚",5,0,600,2,
31,2,5,"メダル3枚",3,0,400,2,
32,2,6,"結晶3つ",3,0,600,2,
33,2,6,"結晶2つ",2,0,400,2,
34,2,7,"スキルLv5",5,0,600,2,
35,2,7,"スキルLv3",3,0,400,2,
36,2,9,"コンボ30",30,0,600,2,
37,2,9,"コンボ20",20,0,400,2,
38,2,4,"モブ20",20,0,200,3,
39,2,4,"モブ10",10,0,100,3,
40,2,8,"アクセラ10回",10,0,200,3,
41,2,8,"アクセラ5回",5,0,100,3,
42,2,9,"コンボ10",10,0,200,3,
43,2,9,"コンボ5",5,0,100,3,
44,2,10,"サポスキ2",2,0,200,3,
45,2,10,"サポスキ1",1,0,100,3,
46,2,11,"シンクロ１",1,0,100,3,
47,3,13,"エンドガーディアン討伐",0,0,5000,1,
48,3,1,"ファーストアタック1回",1,0,1000,2,
49,3,2,"ラストアタック1回",1,0,1000,2,
50,3,3,"指揮官1体",1,0,1000,2,
51,3,4,"モブ50",50,0,1000,2,
52,3,5,"メダル20枚",20,0,1000,2,
53,3,6,"結晶5つ",5,0,1000,2,
54,3,7,"スキルLv5",5,0,1000,2,
55,3,9,"コンボ30",40,0,1000,2,
56,3,4,"モブ25",25,0,500,3,
57,3,5,"メダル10枚",10,0,500,3,
58,3,6,"結晶3つ",3,0,500,3,
59,3,7,"スキルLv4",4,0,500,3,
60,3,9,"コンボ15",15,0,500,3,
61,4,13,"エンドガーディアン討伐",0,0,5000,1,
62,4,1,"ファーストアタック1回",1,0,1000,2,
63,4,2,"ラストアタック1回",1,0,1000,2,
64,4,3,"指揮官1体",1,0,1000,2,
65,4,4,"モブ50",50,0,1000,2,
66,4,5,"メダル20枚",20,0,1000,2,
67,4,6,"結晶5つ",5,0,1000,2,
68,4,7,"スキルLv5",5,0,1000,2,
69,4,9,"コンボ30",40,0,1000,2,
70,4,4,"モブ25",25,0,500,3,
71,4,5,"メダル10枚",10,0,500,3,
72,4,6,"結晶3つ",3,0,500,3,
73,4,7,"スキルLv4",4,0,500,3,
74,4,9,"コンボ15",15,0,500,3,
75,5,13,"エンドガーディアン討伐",0,0,5000,1,
76,5,1,"ファーストアタック1回",1,0,1000,2,
77,5,2,"ラストアタック1回",1,0,1000,2,
78,5,3,"指揮官1体",1,0,1000,2,
79,5,4,"モブ50",50,0,1000,2,
80,5,5,"メダル20枚",20,0,1000,2,
81,5,6,"結晶5つ",5,0,1000,2,
82,5,7,"スキルLv5",5,0,1000,2,
83,5,9,"コンボ30",40,0,1000,2,
84,5,4,"モブ25",25,0,500,3,
85,5,5,"メダル10枚",10,0,500,3,
86,5,6,"結晶3つ",3,0,500,3,
87,5,7,"スキルLv4",4,0,500,3,
88,5,9,"コンボ15",15,0,500,3,
89,6,13,"エンドガーディアン討伐",0,0,5000,1,
90,6,1,"ファーストアタック1回",1,0,1000,2,
