// DefragMatchSeedId,DefragMatchId,CheckType,NeedClassNum,NeedClearedTrialTowerId,GetLeaguePoint,GetLeagueScore,SetClassNum,Memo
1,1,2,-1,70,0,50,6,"デフラグマッチ『プレシーズン』"
2,2,1,6,-1,0,50,6,"デフラグマッチ『キリトシーズン』"
3,3,1,6,-1,0,50,6,"デフラグマッチ『リーファシーズン』"
4,4,2,-1,50,0,30,6,"デフラグマッチ『ユウキシーズン』"
5,5,2,-1,50,0,30,6,"デフラグマッチ『アリスシーズン』"
6,6,2,-1,50,0,30,6,"デフラグマッチ『レインシーズン』"
7,7,2,-1,50,0,30,6,"デフラグマッチ『シノンシーズン』"
8,8,2,-1,50,0,30,6,"デフラグマッチ『シリカシーズン』"
9,9,2,-1,50,0,30,6,"デフラグマッチ『アスナシーズン』"
10,10,2,-1,50,0,30,6,"デフラグマッチ『リズベットシーズン』"
11,11,2,-1,50,0,30,6,"デフラグマッチ『ユージオシーズン』"
12,12,2,-1,50,0,30,6,"デフラグマッチ『アルゴシーズン』"
13,13,2,-1,50,0,30,6,"デフラグマッチ『リーファシーズン』"
14,14,2,-1,50,0,30,6,"デフラグマッチ『ユウキシーズン』"
15,15,2,-1,50,0,30,6,"デフラグマッチ『キリトシーズン』"
16,16,2,-1,50,0,30,6,"デフラグマッチ『シノンシーズン』"
17,17,2,-1,50,0,30,6,"デフラグマッチ『オールスターシーズン』"
