// DefragMatchSpecialEffectsId,DefragMatchId,SpecialEffectType,SpecialEffectCoefficient,TargetCharaId,Memo
2,2,0,10,1,"デフラグマッチ『キリトシーズン』"
3,3,0,10,3,"デフラグマッチ『リーファシーズン』"
4,4,0,30,9,"デフラグマッチ『ユウキシーズン』"
5,5,0,30,11,"デフラグマッチ『アリスシーズン』"
6,6,0,30,18,"デフラグマッチ『レインシーズン』"
7,7,0,30,4,"デフラグマッチ『シノンシーズン』"
8,8,0,30,6,"デフラグマッチ『シリカシーズン』"
9,9,0,30,2,"デフラグマッチ『アスナシーズン』"
10,10,0,30,5,"デフラグマッチ『リズベットシーズン』"
11,11,0,30,12,"デフラグマッチ『ユージオシーズン』"
12,12,0,30,10,"デフラグマッチ『アルゴシーズン』"
13,13,0,30,3,"デフラグマッチ『リーファシーズン』"
14,14,0,30,9,"デフラグマッチ『ユウキシーズン』"
15,15,0,30,1,"デフラグマッチ『キリトシーズン』"
16,16,0,30,4,"デフラグマッチ『シノンシーズン』"
