// EnemyKindId,EnemyCategoryId,Name,IconFilepath,WeakPhysicsAttr,WeakMagicAttr,WeakText,ResistText,FlavorText,CollectionDisplayStartDate,CollectionEmptyFrameDisplayFlag
15010000,8,"ファフニール","MONS_15010000",0,2,"水・土","火","巨大な飛竜。名称から≪ALO≫<br>由来の個体と推測される。突進<br>攻撃と口から吐き出す火球に注<br>意が必要。","2019/01/01",True
15010100,8,"ヴィゾーヴニル","MONS_15010100",0,5,"土・聖",,"≪ファフニール≫の同系統種。<br>やや小型だが攻撃力は高くなっ<br>ており、闇属性の攻撃を行う。<br>尾部が弱点。","2019/01/01",True
15010200,8,"クン・リンドルム","MONS_15010200",0,4,"土","火","≪竜王≫の名を冠し、同系統種<br>の中でも非常に強力な個体。火<br>球による飽和攻撃を行うため、<br>属性対策を強く推奨。","2019/01/01",True
15020000,6,"ヒルディスヴィーニ","MONS_15020000",0,2,"水","斬・突・土","巨大な拳で周囲を破壊する個<br>体。怒り状態に行う回転攻撃は<br>非常に危険なため、防御を行う<br>ことを推奨。","2019/01/01",True
15020100,6,"グリンブルスティ","MONS_15020100",0,6,"闇","斬・突・土","≪ヒルディスヴィー二≫の同系<br>統種と同定。土属性の強力な攻<br>撃を行うため属性対策を推奨。","2019/01/01",True
15020200,6,"アウドムラ","MONS_15020200",0,5,"聖","斬・突・火・土","同系統他種に比べ、各種能力が<br>高くなっている。耐久力が非常<br>に高く、斬・突攻撃への耐性も<br>持つため対策を強く推奨。","2019/01/01",True
15040000,6,"オーディン","MONS_15040000",0,6,"闇","聖","北欧神話最高神の名を冠する個<br>体。その名に違わず非常に危険<br>度が高い。聖属性攻撃への対策<br>を推奨。","2019/01/01",True
15040100,6,"ジークフリート","MONS_15040100",0,2,"水","火","北欧神話の著名な英雄の名を冠<br>する個体。その名に恥じぬ高い<br>攻撃力と豊富な技を併せ持つ。<br>行動の見極めが非常に重要。","2019/01/01",True
15040200,6,"ロキ","MONS_15040200",0,5,"聖",,"北欧神の名を冠する個体。状態<br>異常攻撃のほか、特定条件下で<br>は分身を生み出す。本体を見抜<br>き、集中的に狙うことを推奨。","2019/01/01",True
15040300,6,"フリュム","MONS_15040300",0,5,"聖",,"大きな鎌を持った死神の姿をも<br>つ個体。大鎌を使い遠近多様な<br>攻撃を行う。また、Mobを召喚<br>するという情報もある。","2019/01/01",True
15040400,6,"バルドル","MONS_15040400",0,6,"闇",,"北欧神の名を冠するため≪ALO<br>≫由来の個体と推測される。槍<br>による激しい攻撃が特徴。聖属<br>性への対策も推奨。","2019/01/01",True
15040500,6,"フルングニル","MONS_15040500",0,6,"闇",,"≪ドルグスラシル≫の同系統種<br>と同定。強力な混乱・封印の状<br>態異常攻撃を行ってくる一方、<br>同状態異常への耐性は低い。","2019/01/01",True
