// EpisodeId,EpisodeChapterId,ReleaseEpisodeId,EpisodeNum,Title,CommentSummary,CommentIntroduction,RecommendLv,ExBonusTableSubId,QuestSceneId,StartAdvName,EndAdvName,UnlockStillId,RequiredReleaseEpisodeAppendId,RequiredReleaseEpisodeAppendNum,ReleaseRewardVp
10001,10001,0,1,"Unknown","VRMMOの世界を手軽に見られる筐体《ViSTer》","アクセスしてみようと起動させると、通信が入り…？",1,91001,1001,"CH01_01_ADV_01","CH01_01_ADV_02",101001,0,0,0
10002,10001,10001,2,"混沌の世界","《ザ・シードネットワーク》内の謎の空間《Unknown》","キリトたちと協力し、この世界の調査が始まる",2,91002,1002,"CH01_02_ADV_01",,0,0,0,0
10003,10001,10002,3,"誠忠の少女","懐かしさと違和感が共在する《Unknown》空間","用心しながら歩を進める一行を待ち受けていたものとは",3,91003,1003,"CH01_03_ADV_01","CH01_03_ADV_02",101002,0,0,0
10004,10001,10003,4,"チャンク踏破へ","《Unknown》内で出会った謎の少女、リコ","彼女がもたらした情報により、調査に光明が差す",4,1004,1004,"CH01_04_ADV_01",,0,0,0,0
10005,10001,10004,5,"探索の懐古談","リコは《Unknown》空間の案内人としても優秀だ","クエストNPCの彼女を見ていると、思い出すことがある",6,1005,1005,,"CH01_05_ADV_01",0,0,0,0
10006,10001,10005,6,"世界樹の過去","世界樹はALOを象徴するオブジェクトと言えよう","しかし《Unknown》の世界樹はどこか違うようで…？",7,1006,1006,"CH01_06_ADV_01",,0,10001,1,0
10007,10001,10006,7,"浮遊城の記録","《Unknown》の混沌ぶりには目を瞠るものがある","改めてSAOのフィールドを眺め、所感を述べ合う",8,1007,1007,,"CH01_07_ADV_01",0,10001,1,0
10008,10001,10007,8,"荒野にて","GGOのフィールドに辿り着いた一行","この空間の不整合に戸惑いを覚える者もいて…",9,1008,1008,"CH01_08_ADV_01",,0,10001,1,0
10009,10001,10008,9,"戦いの追憶","懐かしい地を巡ると思い出が蘇ってくるようだ","今度のフィールドはあの決戦の舞台によく似ている",10,1009,1009,,"CH01_09_ADV_01",0,10001,1,0
10010,10001,10009,10,"旧グランド・クエスト","《Unknown》に再現された世界樹は過去のものらしい","妖精の少女は当時のグランド・クエストを振り返る",12,1010,1010,"CH01_10_ADV_01",,0,10001,1,0
10011,10001,10010,11,"調査進捗","調査は順調なものの、手探りであることには変わりない","痺れを切らしたメンバーに、リコが新たな情報を告げる",13,1011,1011,"CH01_11_ADV_01",,0,10001,1,0
10012,10001,10011,12,"氷の城","調査の進捗が明らかになり、歩みも軽い","新たなフィールドは年末の大冒険を思い出させる",14,1012,1012,"CH01_12_ADV_01",,0,10001,1,0
10013,10001,10012,13,"青眼の戦慄","74層での戦いは、《SAO生還者》の間では有名だ","リコも興味を持ったようで、皆で当時のことを振り返る",15,1013,1013,"CH01_13_ADV_01",,0,10001,1,0
10014,10001,10013,14,"リコの忠誠","リコからの忠義は、プレイヤーとNPC、という間柄では","留まりきらないものを感じる　何故なのだろうか",16,1014,1014,,"CH01_14_ADV_01",0,10001,1,0
10015,10001,10014,15,"世界の姿","調査を繰り返すものの、未だ分からないことが多い","この調査は一体どこへ辿り着くのか…ふと思案する",20,1015,1015,"CH01_15_ADV_01",,0,10001,1,0
10016,10001,10015,16,"まどろみの記憶","調査続きで疲れが溜まってきた一行","中でも責任感の強い彼女は現実でも大忙しで…",21,1016,1016,,"CH01_16_ADV_01",101003,10001,1,0
10017,10001,10016,17,"次のチャンクへ","探索ももうかなりの数こなしてきたと話していると","リコが声をかけてくる　何やら話があるそうだ",22,1017,1017,,"CH01_17_ADV_01",0,10001,1,0
10018,10001,10017,18,"チャンクキーパー","ついにチャンクの末端へ到達した","この戦いに勝利すれば、次のチャンクが起動するはずだ",25,1018,1018,"CH01_18_ADV_01","CH01_18_ADV_02",0,10001,1,0
20001,10002,10018,1,"第二チャンク","続くチャンクの解析が完了し、初のダイブを行った一行","そこには、いつか歩んだ花畑が広がっていた",26,1019,1019,"CH02_01_ADV_01","CH02_01_ADV_02",102001,10001,1,0
20002,10002,20001,2,"新たなる協力者","順調に調査を開始したメンバーが思い出話に花を","咲かせていると、ある意外な訪問者が現れて…？",27,1020,1020,"CH02_02_ADV_01",,0,10001,1,0
20003,10002,20002,3,"親交の深まり","元々親交のあったメンバーと違い、後から加わった形の","リコとプレイヤーも、だいぶ馴染んできたと振り返る",28,1021,1021,,"CH02_03_ADV_01",0,10001,1,0
20004,10002,20003,4,"情報収集","今日もゲームの思い出をにこやかに聞くリコ","そんな彼女を観察したところ、分かったことがあり…",29,1022,1022,"CH02_04_ADV_01",,0,10001,1,0
20005,10002,20004,5,"氷城の悔恨","スリュムヘイムにて、当時のキャリバークエストに","参加できなかった面々が、口惜しさを吐露する",30,1023,1023,,"CH02_05_ADV_01",0,10001,1,0
20006,10002,20005,6,"樹上に潜む者","圏内までもがフィールド化しているこの世界にも","すっかり慣れたと話していると、頭上から声がして…",31,1024,1024,"CH02_06_ADV_01",,0,10001,1,0
20007,10002,20006,7,"恋人の聖地","ロマンチックな光景が広がるフローリア","探索するメンバーも憧れのシチュエーションを話し合う",32,1025,1025,"CH02_07_ADV_01",,0,10001,1,0
