// EquipmentLevelId,RequireExp,TotalExp
1,200,200
2,400,600
3,600,1200
4,800,2000
5,1000,3000
6,1200,4200
7,1400,5600
8,1600,7200
9,1800,9000
10,2000,11000
11,2200,13200
12,2400,15600
13,2600,18200
14,2800,21000
15,3000,24000
16,3200,27200
17,3400,30600
18,3600,34200
19,3800,38000
20,4000,42000
21,4200,46200
22,4400,50600
23,4600,55200
24,4800,60000
25,5000,65000
26,5200,70200
27,5400,75600
28,5600,81200
29,5800,87000
30,6000,93000
31,6200,99200
32,6400,105600
33,6600,112200
34,6800,119000
35,7000,126000
36,7200,133200
37,7400,140600
38,7600,148200
39,7800,156000
40,8000,164000
41,8200,172200
42,8400,180600
43,8600,189200
44,8800,198000
45,9000,207000
46,9200,216200
47,9400,225600
48,9600,235200
49,9800,245000
50,10000,255000
51,10200,265200
52,10400,275600
53,10600,286200
54,10800,297000
55,11000,308000
56,11200,319200
57,11400,330600
58,11600,342200
59,11800,354000
60,12000,366000
61,12200,378200
62,12400,390600
63,12600,403200
64,12800,416000
65,13000,429000
66,13200,442200
67,13400,455600
68,13600,469200
69,13800,483000
70,14000,497000
71,14200,511200
72,14400,525600
73,14600,540200
74,14800,555000
75,15000,570000
76,15200,585200
77,15400,600600
78,15600,616200
79,15800,632000
80,16000,648000
81,16200,664200
82,16400,680600
83,16600,697200
84,16800,714000
85,17000,731000
86,17200,748200
87,17400,765600
88,17600,783200
89,17800,801000
90,18000,819000
91,18200,837200
92,18400,855600
93,18600,874200
94,18800,893000
95,19000,912000
96,19200,931200
97,19400,950600
98,19600,970200
99,19800,990000
100,100000,1090000
101,150000,1240000
102,200000,1440000
103,250000,1690000
104,300000,1990000
105,350000,2340000
106,400000,2740000
107,450000,3190000
108,500000,3690000
109,550000,4240000
110,600000,4840000
111,650000,5490000
112,700000,6190000
113,750000,6940000
114,800000,7740000
115,850000,8590000
116,900000,9490000
117,950000,10440000
118,1000000,11440000
119,1000000,12440000
120,1000000,13440000
