// ExBonusTableId,ExBonusTableSubId,ExBonusConditionId,ConditionValue1,ConditionValue2,CommonRewardType,CommonRewardId,CommonRewardNum,Strength,Property1PropertyId,Property1Value1,Property1Value2,Property2PropertyId,Property2Value1,Property2Value2,Property3PropertyId,Property3Value1,Property3Value2,Property4PropertyId,Property4Value1,Property4Value2
1,1001,1,480,0,2,101000001,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
2,1001,6,1,0,2,102000000,1,0,1,0,0,1,0,0,99999,0,0,99999,0,0
3,1001,3,10,0,2,109000000,1,0,1,0,0,1,0,0,99999,0,0,99999,0,0
4,1002,1,360,0,1,104000010,1,0,1,0,0,1,0,0,99999,0,0,99999,0,0
5,1002,6,2,0,1,106000010,1,0,1,0,0,1,0,0,99999,0,0,99999,0,0
6,1002,10,10,0,1,103000010,1,0,1,0,0,1,0,0,99999,0,0,99999,0,0
7,1003,1,360,0,2,105000002,1,3,1,0,0,1,0,0,2,0,0,99999,0,0
8,1003,6,2,0,1,103000020,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
9,1003,4,1,0,1,107000010,1,0,1,0,0,1,0,0,99999,0,0,99999,0,0
10,1004,1,300,0,2,108000002,1,4,1,0,0,1,0,0,2,0,0,99999,0,0
11,1004,6,2,0,1,102000040,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
12,1004,3,30,0,1,108000010,1,0,1,0,0,1,0,0,99999,0,0,99999,0,0
13,1005,1,300,0,2,103000002,1,5,1,0,0,1,0,0,2,0,0,99999,0,0
14,1005,6,2,0,1,105000020,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
15,1005,4,1,0,1,106000030,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
16,1006,1,300,0,2,101000002,1,6,204300,33,0,204800,5,0,2,0,0,99999,0,0
17,1006,6,3,0,1,101000030,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
18,1006,3,40,0,1,103000030,1,0,1,0,0,1,0,0,2,0,0,99999,0,0
19,1007,1,240,0,2,109000002,1,7,1,0,0,1,0,0,2,0,0,99999,0,0
