// ExTowerQuestId,ExTowerId,ReleaseExTowerQuestId,LevelNum,Title,ExBonusTableSubId,QuestSceneId,RecommendLv
10011,10010,0,1,"煉獄　第1層",4011,4011,100
10012,10010,10011,2,"煉獄　第2層",4012,4012,105
10013,10010,10012,3,"煉獄　第3層",4013,4013,110
10014,10010,10013,4,"煉獄　第4層",4014,4014,110
10021,10020,0,1,"奈落　第1層",4021,4021,100
10022,10020,10021,2,"奈落　第2層",4022,4022,105
10023,10020,10022,3,"奈落　第3層",4023,4023,110
10024,10020,10023,4,"奈落　第4層",4024,4024,110
10031,10030,0,1,"魔海　第1層",4031,4031,100
10032,10030,10031,2,"魔海　第2層",4032,4032,105
10033,10030,10032,3,"魔海　第3層",4033,4033,110
10034,10030,10033,4,"魔海　第4層",4034,4034,110
10041,10040,0,1,"聖域　第1層",4041,4041,100
10042,10040,10041,2,"聖域　第2層",4042,4042,105
10043,10040,10042,3,"聖域　第3層",4043,4043,110
10044,10040,10043,4,"聖域　第4層",4044,4044,110
10051,10050,0,1,"秘境　第1層",4051,4051,100
10052,10050,10051,2,"秘境　第2層",4052,4052,105
10053,10050,10052,3,"秘境　第3層",4053,4053,110
10054,10050,10053,4,"秘境　第4層",4054,4054,110
10061,10060,0,1,"金殿　第1層",4061,4061,100
10062,10060,10061,2,"金殿　第2層",4062,4062,105
10063,10060,10062,3,"金殿　第3層",4063,4063,110
10064,10060,10063,4,"金殿　第4層",4064,4064,110
10071,10070,0,1,"墓標　第1層",4071,4071,100
10072,10070,10071,2,"墓標　第2層",4072,4072,105
10073,10070,10072,3,"墓標　第3層",4073,4073,110
10074,10070,10073,4,"墓標　第4層",4074,4074,110
10081,10080,0,1,"熱圏　第1層",4081,4081,110
10082,10080,10081,2,"熱圏　第2層",4082,4082,105
10083,10080,10082,3,"熱圏　第3層",4083,4083,110
10084,10080,10083,4,"熱圏　第4層",4084,4084,110
10091,10090,0,1,"刑場　第1層",4091,4091,110
10092,10090,10091,2,"刑場　第2層",4092,4092,105
10093,10090,10092,3,"刑場　第3層",4093,4093,110
10094,10090,10093,4,"刑場　第4層",4094,4094,110
10101,10100,0,1,"氷河　第1層",4101,4101,110
10102,10100,10101,2,"氷河　第2層",4102,4102,105
10103,10100,10102,3,"氷河　第3層",4103,4103,110
10104,10100,10103,4,"氷河　第4層",4104,4104,110
10111,10110,0,1,"楽土　第1層",4111,4111,110
10112,10110,10111,2,"楽土　第2層",4112,4112,105
10113,10110,10112,3,"楽土　第3層",4113,4113,110
10114,10110,10113,4,"楽土　第4層",4114,4114,110
19001,19000,0,1,"煉獄　第1層",4901,4901,100
19002,19000,0,2,"煉獄　第2層",4902,4902,105
19003,19000,0,3,"煉獄　第3層",4903,4903,110
19004,19000,0,4,"煉獄　第4層",4904,4904,110
19005,19000,0,5,"奈落　第1層",4905,4905,100
19006,19000,0,6,"奈落　第2層",4906,4906,105
19007,19000,0,7,"奈落　第3層",4907,4907,110
19008,19000,0,8,"奈落　第4層",4908,4908,110
19009,19000,0,9,"魔海　第1層",4909,4909,100
19010,19000,0,10,"魔海　第2層",4910,4910,105
19011,19000,0,11,"魔海　第3層",4911,4911,110
19012,19000,0,12,"魔海　第4層",4912,4912,110
19013,19000,0,13,"聖域　第1層",4913,4913,100
19014,19000,0,14,"聖域　第2層",4914,4914,105
19015,19000,0,15,"聖域　第3層",4915,4915,110
19016,19000,0,16,"聖域　第4層",4916,4916,110
19017,19000,0,17,"秘境　第1層",4917,4917,100
19018,19000,0,18,"秘境　第2層",4918,4918,105
19019,19000,0,19,"秘境　第3層",4919,4919,110
19020,19000,0,20,"秘境　第4層",4920,4920,110
19021,19000,0,21,"金殿　第1層",4921,4921,100
19022,19000,0,22,"金殿　第2層",4922,4922,105
19023,19000,0,23,"金殿　第3層",4923,4923,110
19024,19000,0,24,"金殿　第4層",4924,4924,110
19025,19000,0,25,"墓標　第1層",4925,4925,100
19026,19000,0,26,"墓標　第2層",4926,4926,105
19027,19000,0,27,"墓標　第3層",4927,4927,110
19028,19000,0,28,"墓標　第4層",4928,4928,110
19029,19000,0,29,"熱圏　第1層",4929,4929,110
19030,19000,0,30,"熱圏　第2層",4930,4930,105
19031,19000,0,31,"熱圏　第3層",4931,4931,110
19032,19000,0,32,"熱圏　第4層",4932,4932,110
19033,19000,0,33,"刑場　第1層",4933,4933,110
19034,19000,0,34,"刑場　第2層",4934,4934,105
19035,19000,0,35,"刑場　第3層",4935,4935,110
19036,19000,0,36,"刑場　第4層",4936,4936,110
19037,19000,0,37,"氷河　第1層",4937,4937,110
19038,19000,0,38,"氷河　第2層",4938,4938,105
19039,19000,0,39,"氷河　第3層",4939,4939,110
19040,19000,0,40,"氷河　第4層",4940,4940,110
19041,19000,0,41,"楽土　第1層",4941,4941,110
19042,19000,0,42,"楽土　第2層",4942,4942,105
19043,19000,0,43,"楽土　第3層",4943,4943,110
19044,19000,0,44,"楽土　第4層",4944,4944,110
19045,19000,0,45,"無限　最終層",4945,4945,120
