// GashaMedalId,GashaMedalType,Name
10001,1,"ガシャメダル赤"
10002,2,"ガシャメダル青"
10003,3,"ガシャメダル緑"
10004,4,"ガシャメダル桃"
10005,5,"ガシャメダル橙"
10159,4,"ガシャメダル桃"
10163,5,"ガシャメダル橙"
10166,3,"ガシャメダル緑"
10168,1,"ガシャメダル赤"
10172,3,"ガシャメダル緑"
10173,6,"ガシャメダル紫"
10176,4,"ガシャメダル桃"
10180,1,"ガシャメダル赤"
10184,2,"ガシャメダル青"
10185,6,"ガシャメダル紫"
10186,3,"ガシャメダル緑"
10189,6,"ガシャメダル紫"
10190,5,"ガシャメダル橙"
10191,3,"ガシャメダル緑"
10192,5,"ガシャメダル橙"
10193,1,"ガシャメダル赤"
10197,2,"ガシャメダル青"
10198,4,"ガシャメダル桃"
10199,4,"ガシャメダル桃"
10200,2,"ガシャメダル青"
10201,6,"ガシャメダル紫"
10202,5,"ガシャメダル橙"
10203,3,"ガシャメダル緑"
10204,5,"ガシャメダル橙"
10205,3,"ガシャメダル緑"
10206,6,"ガシャメダル紫"
10208,1,"ガシャメダル赤"
10213,2,"ガシャメダル青"
10214,4,"ガシャメダル桃"
10215,2,"ガシャメダル青"
10216,6,"ガシャメダル紫"
10218,5,"ガシャメダル橙"
10219,3,"ガシャメダル緑"
10220,5,"ガシャメダル橙"
10221,6,"ガシャメダル紫"
10222,4,"ガシャメダル桃"
10228,1,"ガシャメダル赤"
10232,6,"ガシャメダル紫"
10233,1,"ガシャメダル赤"
10234,3,"ガシャメダル緑"
10235,5,"ガシャメダル橙"
10236,3,"ガシャメダル緑"
10237,2,"ガシャメダル青"
10238,5,"ガシャメダル橙"
10239,4,"ガシャメダル桃"
10243,1,"ガシャメダル赤"
10247,4,"ガシャメダル桃"
10248,6,"ガシャメダル紫"
10249,2,"ガシャメダル青"
10250,6,"ガシャメダル紫"
10251,3,"ガシャメダル緑"
10252,5,"ガシャメダル橙"
10253,3,"ガシャメダル緑"
10255,2,"ガシャメダル青"
10261,6,"ガシャメダル紫"
10264,6,"ガシャメダル紫"
10266,5,"ガシャメダル橙"
10267,4,"ガシャメダル桃"
10277,2,"ガシャメダル青"
10284,1,"ガシャメダル赤"
10285,6,"ガシャメダル紫"
10286,3,"ガシャメダル緑"
10290,4,"ガシャメダル桃"
10291,5,"ガシャメダル橙"
10292,4,"ガシャメダル桃"
10293,3,"ガシャメダル緑"
10294,2,"ガシャメダル青"
10299,4,"ガシャメダル桃"
10304,1,"ガシャメダル赤"
10305,1,"ガシャメダル赤"
10306,3,"ガシャメダル緑"
10307,5,"ガシャメダル橙"
10308,3,"ガシャメダル緑"
10309,3,"ガシャメダル緑"
10310,6,"ガシャメダル紫"
10312,2,"ガシャメダル青"
10317,4,"ガシャメダル桃"
10319,5,"ガシャメダル橙"
10320,1,"ガシャメダル赤"
10321,6,"ガシャメダル紫"
10323,3,"ガシャメダル緑"
10324,2,"ガシャメダル青"
10329,4,"ガシャメダル桃"
10331,1,"ガシャメダル赤"
10332,5,"ガシャメダル橙"
10333,3,"ガシャメダル緑"
10334,2,"ガシャメダル青"
10339,1,"ガシャメダル赤"
10341,6,"ガシャメダル紫"
10342,2,"ガシャメダル青"
