// HeroLogLevelId,RequireExp,TotalExp
1,0,0
2,1000,1000
3,1200,2200
4,1400,3600
5,1600,5200
6,1900,7100
7,2200,9300
8,2500,11800
9,2800,14600
10,3100,17700
11,3500,21200
12,3900,25100
13,4300,29400
14,4700,34100
15,5100,39200
16,5550,44750
17,6000,50750
18,6450,57200
19,6900,64100
20,7350,71450
21,7850,79300
22,8350,87650
23,8850,96500
24,9350,105850
25,9850,115700
26,10450,126150
27,11050,137200
28,11650,148850
29,12250,161100
30,12850,173950
31,13550,187500
32,14250,201750
33,14950,216700
34,15650,232350
35,16350,248700
36,17150,265850
37,17950,283800
38,18750,302550
39,19550,322100
40,20350,342450
41,21250,363700
42,22150,385850
43,23050,408900
44,23950,432850
45,24850,457700
46,25850,483550
47,26850,510400
48,27850,538250
49,28850,567100
50,29850,596950
51,30950,627900
52,32050,659950
53,33150,693100
54,34250,727350
55,35350,762700
56,36550,799250
57,37750,837000
58,38950,875950
59,40150,916100
60,41350,957450
61,42650,1000100
62,43950,1044050
63,45250,1089300
64,46550,1135850
65,47850,1183700
66,49250,1232950
67,50650,1283600
68,52050,1335650
69,53450,1389100
70,54850,1443950
71,56350,1500300
72,57850,1558150
73,59350,1617500
74,60850,1678350
75,62350,1740700
76,63950,1804650
77,65550,1870200
78,67150,1937350
79,68750,2006100
80,70350,2076450
81,72050,2148500
82,73750,2222250
83,75450,2297700
84,77150,2374850
85,78850,2453700
86,80650,2534350
87,82450,2616800
88,84250,2701050
89,86050,2787100
90,87850,2874950
91,89750,2964700
92,91650,3056350
93,93550,3149900
94,95450,3245350
95,97350,3342700
96,99350,3442050
97,101350,3543400
98,103350,3646750
99,105350,3752100
100,107350,3859450
101,200000,4059450
102,300000,4359450
103,450000,4809450
104,600000,5409450
105,800000,6209450
106,1000000,7209450
107,1250000,8459450
108,1500000,9959450
109,1800000,11759450
110,2100000,13859450
111,2100000,15959450
112,2100000,18059450
113,2100000,20159450
114,2100000,22259450
115,2100000,24359450
116,2100000,26459450
117,2100000,28559450
118,2100000,30659450
119,2100000,32759450
120,2100000,34859450
