// MissionId,MissionDifficultyId,MissionName,TimeLimit,Condition,EnemySetId,Value1,Value2,EnemyHide
1101,1,"TEXT_MISSION_KILL_001",20,1,1101,0,0,True
1102,1,"TEXT_MISSION_KILL_002",20,1,1102,0,0,True
1103,1,"TEXT_MISSION_KILL_003",20,1,1103,0,0,True
1104,1,"TEXT_MISSION_KILL_004",20,1,1104,0,0,True
1105,1,"TEXT_MISSION_KILL_005",20,1,1105,0,0,True
1106,1,"TEXT_MISSION_KILL_006",20,1,1106,0,0,True
1107,1,"TEXT_MISSION_KILL_007",20,1,1107,0,0,True
1108,1,"TEXT_MISSION_KILL_008",20,1,1108,0,0,True
1201,2,"TEXT_MISSION_KILL_009",20,1,1201,0,0,True
1202,2,"TEXT_MISSION_KILL_010",20,1,1202,0,0,True
1203,2,"TEXT_MISSION_KILL_011",20,1,1203,0,0,True
1204,2,"TEXT_MISSION_KILL_012",20,1,1204,0,0,True
1205,2,"TEXT_MISSION_KILL_013",20,1,1205,0,0,True
1206,2,"TEXT_MISSION_KILL_014",20,1,1206,0,0,True
1207,2,"TEXT_MISSION_KILL_015",20,1,1207,0,0,True
1208,2,"TEXT_MISSION_KILL_016",20,1,1208,0,0,True
1191,1,"TEXT_MISSION_KILL_091",30,1,1191,0,0,True
1192,1,"TEXT_MISSION_KILL_092",30,1,1192,0,0,True
1193,1,"TEXT_MISSION_KILL_093",30,1,1193,0,0,True
1194,1,"TEXT_MISSION_KILL_094",30,1,1194,0,0,True
2301,3,"TEXT_MISSION_COMBO15",20,2,2301,15,0,True
2302,3,"TEXT_MISSION_COMBO15",20,2,2302,15,0,True
2303,3,"TEXT_MISSION_COMBO10",20,2,2303,10,0,True
2304,3,"TEXT_MISSION_COMBO15",30,2,2304,15,0,True
2305,3,"TEXT_MISSION_COMBO10",20,2,2305,10,0,True
2401,4,"TEXT_MISSION_COMBO15",20,2,2401,15,0,True
2402,4,"TEXT_MISSION_COMBO15",20,2,2402,15,0,True
2403,4,"TEXT_MISSION_COMBO15",20,2,2403,15,0,True
2404,4,"TEXT_MISSION_COMBO15",20,2,2404,15,0,True
2405,4,"TEXT_MISSION_COMBO20",30,2,2405,20,0,True
2391,3,"TEXT_MISSION_COMBO15",40,2,2391,15,0,True
2392,3,"TEXT_MISSION_COMBO15",40,2,2392,15,0,True
3100,1,"TEXT_MISSION_2WAVE",30,3,3101,3102,0,True
3110,1,"TEXT_MISSION_2WAVE",30,3,3111,3112,0,True
3120,1,"TEXT_MISSION_2WAVE",30,3,3121,3122,0,True
3130,1,"TEXT_MISSION_2WAVE",30,3,3131,3132,0,True
3140,1,"TEXT_MISSION_2WAVE",30,3,3141,3142,0,True
3200,2,"TEXT_MISSION_2WAVE",30,3,3201,3202,0,True
3210,2,"TEXT_MISSION_2WAVE",30,3,3211,3212,0,True
3220,2,"TEXT_MISSION_2WAVE",30,3,3221,3222,0,True
3300,3,"TEXT_MISSION_3WAVE",40,3,3301,3302,3303,True
3310,3,"TEXT_MISSION_3WAVE",40,3,3311,3312,3313,True
3320,3,"TEXT_MISSION_3WAVE",40,3,3321,3322,3323,True
3400,4,"TEXT_MISSION_3WAVE",40,3,3401,3402,3403,True
3410,4,"TEXT_MISSION_3WAVE",40,3,3411,3412,3413,True
3420,4,"TEXT_MISSION_3WAVE",40,3,3421,3422,3423,True
4301,3,"TEXT_MISSION_DEFENSE01",30,4,4301,210,2,True
4302,3,"TEXT_MISSION_DEFENSE01",30,4,4302,210,2,True
4303,3,"TEXT_MISSION_DEFENSE01",30,4,4303,210,2,True
4304,3,"TEXT_MISSION_DEFENSE01",30,4,4304,210,2,True
4305,3,"TEXT_MISSION_DEFENSE01",30,4,4305,180,2,True
4401,4,"TEXT_MISSION_DEFENSE01",30,4,4401,150,2,True
4402,4,"TEXT_MISSION_DEFENSE01",30,4,4402,180,2,True
4403,4,"TEXT_MISSION_DEFENSE01",30,4,4403,180,2,True
4404,4,"TEXT_MISSION_DEFENSE01",30,4,4404,180,2,True
4405,4,"TEXT_MISSION_DEFENSE01",30,4,4405,150,2,True
5101,1,"TEXT_MISSION_ATTACK01",30,5,5101,180,1,True
5102,1,"TEXT_MISSION_ATTACK01",30,5,5102,180,1,True
5103,1,"TEXT_MISSION_ATTACK01",30,5,5103,180,1,True
5104,1,"TEXT_MISSION_ATTACK01",30,5,5104,180,1,True
5105,1,"TEXT_MISSION_ATTACK01",30,5,5105,180,1,True
5106,1,"TEXT_MISSION_ATTACK01",30,5,5106,180,1,True
5107,1,"TEXT_MISSION_ATTACK01",30,5,5107,180,1,True
5201,2,"TEXT_MISSION_ATTACK02",40,5,5201,180,2,True
5202,2,"TEXT_MISSION_ATTACK02",40,5,5202,180,2,True
5203,2,"TEXT_MISSION_ATTACK02",40,5,5203,180,2,True
5204,2,"TEXT_MISSION_ATTACK02",40,5,5204,180,2,True
5205,2,"TEXT_MISSION_ATTACK02",40,5,5205,180,2,True
5206,2,"TEXT_MISSION_ATTACK02",40,5,5206,180,2,True
5207,2,"TEXT_MISSION_ATTACK02",40,5,5207,180,2,True
