// Id,Text
1101,"ディノサウロイドを８体倒せ！"
1102,"デス・トルーパーを８体倒せ！"
1103,"コボルド・バトラーを８体倒せ！"
1104,"オークウォリアーを８体倒せ！"
1105,"シルキーを８体倒せ！"
1106,"メディックマッシュルームを１２体倒せ！"
1107,"ベイン・オーバーリザードを８体倒せ！"
1108,"デモンブロブを１０体倒せ！"
1201,"キリング・ボットを３体倒せ！"
1202,"ブッチャー・ボットを３体倒せ！"
1203,"レッサーデーモンを３体倒せ！"
1204,"グリフォンを２体倒せ！"
1205,"ザ・セイクリッドフェザーを６体倒せ！"
1206,"ホーリー・ロックドールを２体倒せ！"
1207,"ブライトスティンガーを２体倒せ！"
1208,"ポーラー・ボアを１体倒せ！"
1191,"フライングテイルを８体倒せ！"
1192,"ドゥアジットを８体倒せ！"
1193,"ガリッシュ・ガーベラを８体倒せ！"
1194,"シザースを６体倒せ！"
2010,"１０コンボ達成しろ！"
2015,"１５コンボ達成しろ！"
2020,"２０コンボ達成しろ！"
2030,"３０コンボ達成しろ！"
2040,"４０コンボ達成しろ！"
2050,"５０コンボ達成しろ！"
3100,"２ＷＡＶＥ現れるモンスターを殲滅しろ！"
3200,"３ＷＡＶＥ現れるモンスターを殲滅しろ！"
4100,"ライトスフィアを１つ以上守りきれ！"
5100,"ダークスフィアを破壊しろ！"
5200,"ダークスフィアを２つすべて破壊しろ！"
5300,"ダークスフィアを３つすべて破壊しろ！"
5400,"ダークスフィアを４つすべて破壊しろ！"
