// MissionTableId,MissionTableSubId,MissionId,Rate
1,1,1101,1
2,1,1102,1
3,1,1103,1
4,1,1104,1
5,1,1105,1
6,1,1106,1
7,1,1107,1
8,1,1108,1
9,1,1201,1
10,1,1202,1
11,1,1203,1
12,1,1204,1
13,1,1205,1
14,1,1206,1
15,1,1207,1
16,1,1208,1
17,1,2301,1
18,1,2302,1
19,1,2303,1
20,1,2304,1
21,1,2305,1
22,1,2401,1
23,1,2402,1
24,1,2403,1
25,1,2404,1
26,1,2405,1
27,1,3100,1
28,1,3110,1
29,1,3120,1
30,1,3130,1
31,1,3140,1
32,1,3200,1
33,1,3210,1
34,1,3220,1
35,1,3300,1
36,1,3310,1
37,1,3320,1
38,1,3400,1
39,1,3410,1
40,1,3420,1
51,1,5101,1
52,1,5102,1
53,1,5103,1
54,1,5104,1
55,1,5105,1
56,1,5106,1
57,1,5107,1
58,1,5201,1
59,1,5202,1
60,1,5203,1
61,1,5204,1
62,1,5205,1
63,1,5206,1
64,1,5207,1
95,99,1191,1
96,99,1192,1
97,99,1193,1
98,99,1194,1
99,99,2391,1
100,99,2392,1
