// MonsterActionId,Name,UnitId,Slot,UsableLv,UseCount,NotAngry,IsAngry,CanSealed,MultiPlayOnly,AngleMin,AngleMax,RangeMin,RangeMax,AttackTime,DelayTime,CoolTime,State,SubState
56,"ベオウルフβアクション１（振り下ろし）",20408,0,1,-1,True,True,False,False,-50,50,0,6,0.1,0,1,"Action.01","MO_504_08_ACT_01"
64,"ベオウルフアクション１（振り下ろし）",15040801,0,1,-1,True,True,False,False,-50,50,0,6,0.1,0,1,"Action.01","MO_504_08_ACT_01"
65,"ベオウルフアクション２（回転切り）",15040801,1,1,-1,True,False,False,False,0,360,0,4,1,0,3,"Action.02","MO_504_08_ACT_02"
66,"ベオウルフアクション３（ソニックブーム）",15040801,2,1,-1,True,False,True,False,-90,90,4,100,0.5,0,5,"Action.03","MO_504_08_ACT_03"
68,"ベオウルフアクション４（怒り・突進）",15040801,3,1,-1,False,True,False,False,-50,50,4,30,0.01,0,5,"Action.04","MO_504_08_ACT_04"
69,"ベオウルフアクション２（怒り・回転切り）",15040801,7,1,-1,False,True,False,False,0,360,0,4,2,0,1,"Action.08","MO_504_08_ACT_02b"
70,"ベオウルフアクション４（怒り・突進B）",15040801,8,1,-1,False,True,True,False,0,360,0,6,1,0,1,"Action.09","MO_504_08_ACT_04"
71,"ベオウルフアクション３（怒り・ソニックブーム）",15040801,9,1,-1,False,True,True,False,-20,20,8,50,0.01,0,6,"Action.10","MO_504_08_ACT_03b"
72,"ベオウルフアクション20_マルチ吹き飛ばし",15040801,19,1,-1,True,True,False,True,0,360,0,8,0,10,10,"Action.20","MO_504_08_ACT_20"
73,"ベオウルフアクション51（振り下ろし_上位用）",15040800,0,1,-1,True,True,False,False,-50,50,0,8,0.05,0,1,"Action.01","MO_504_08_ACT_51"
74,"ベオウルフアクション53（ソニックブーム_上位用）",15040800,2,1,-1,True,False,True,False,-90,90,4,100,0.5,0,5,"Action.03","MO_504_08_ACT_53"
75,"ベオウルフアクション54（突進_上位用）",15040800,3,1,-1,True,False,False,False,-25,25,4,30,0.01,0,10,"Action.04","MO_504_08_ACT_54"
76,"ベオウルフアクション52b（回転切り_上位用）",15040800,7,1,-1,True,False,False,False,0,360,0,8,0.1,0,2,"Action.08","MO_504_08_ACT_52b"
77,"ベオウルフアクション53b（怒り・ソニックブーム_上位用）",15040800,9,1,-1,False,True,True,False,-20,20,8,50,0.01,0,5,"Action.10","MO_504_08_ACT_53b"
78,"ベオウルフアクション55（特殊移動）",15040800,14,1,-1,True,True,False,False,30,170,0,10,0.05,0,2,"Action.15","MO_504_08_ACT_55"
79,"ベオウルフアクション56（特殊移動）",15040800,15,1,-1,True,True,False,False,-170,-30,0,10,0.05,0,2,"Action.16","MO_504_08_ACT_56"
80,"ベオウルフアクション59（背後攻撃_上位用）",15040800,18,1,-1,True,True,False,False,110,250,0,10,0.1,0,2,"Action.19","MO_504_08_ACT_59"
81,"ベオウルフアクション60_マルチ吹き飛ばし",15040800,19,1,-1,True,True,False,True,0,360,0,8,0,10,10,"Action.20","MO_504_08_ACT_60"
82,"ベオウルフアクション61_バフ（上位用）",15040800,29,1,-1,True,True,True,False,-90,90,0,10,0.02,0,10,"Action.30","MO_504_08_ACT_61"
83,"ベオウルフアクション62_突進攻撃（上位用）",15040800,30,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.31","MO_504_08_ACT_62"
84,"ベオウルフアクション63_回転吹き飛ばし（上位用）",15040800,31,1,-1,True,True,False,False,0,0,0,0,0,0,0,"Action.32","MO_504_08_ACT_63"
85,"ベオウルフアクション64_突進攻撃始動（上位用）",15040800,32,1,-1,False,True,True,False,-25,25,0,30,0.01,0,10,"Action.33","MO_504_08_ACT_64"
86,"ベオウルフアクション65_回転吹き飛ばし始動（上位用）",15040800,33,1,-1,True,True,False,False,0,360,0,8,0.1,0,2,"Action.34","MO_504_08_ACT_65"
87,"ベオウルフアクション66_ホーリーアタック始動（上位用）",15040800,34,1,-1,False,True,True,False,-90,90,5,15,0.02,0,2,"Action.35","MO_504_08_ACT_66"
88,"ベオウルフアクション67_ホーリーアタック発動（上位用）",15040800,35,1,-1,False,True,True,False,0,0,0,0,0,0,0,"Action.36","MO_504_08_ACT_67"
89,"ジークフリートアクション１（振り下ろし）",15040100,0,1,-1,True,False,False,False,-50,50,0,6,0.1,0,1,"Action.01","MO_504_01_ACT_01"
