// MonsterAttackId,Name,AttackCoef,FlipDamage,DownDamage,PoisonIncidence,SealedIncidence,QuestionIncidence,ReduceMaxHpIncidence,BurningIncidence,Quake,CanParry,KnockBack,KnockBackG,ForwardKnockBack,AttackType,PhysicsAttr,MagicAttr,SpellBlast,HitSe,WeakSe,ResistSe
14,"汎用斬撃",1,250,25,0,0,0,0,0,False,True,0,0,False,0,1,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
15,"汎用打撃",1,250,25,0,0,0,0,0,False,True,0,0,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
16,"汎用刺突",1,250,25,0,0,0,0,0,False,True,0,0,False,0,3,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
33,"守護騎士攻撃1_剣切りつけ",1,100,25,0,0,0,0,0,False,True,2,1,False,0,1,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
34,"守護騎士攻撃2_滑空突撃",1,100,25,0,0,0,0,0,False,True,2,1,False,0,3,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
35,"重装守護騎士攻撃1_剣切りつけ",1,100,25,0,0,0,0,0,False,True,2,1,False,0,1,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
36,"重装守護騎士攻撃2_滑空突撃",1,100,25,0,0,0,0,0,False,True,2,1,False,0,3,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
37,"守護騎士・射手攻撃１_射撃",1,0,0,0,0,0,0,0,False,False,0,0,False,0,3,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
38,"守護騎士・射手攻撃３_自爆",1,0,0,0,0,0,0,0,False,False,0,0,False,1,0,1,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
39,"強守護騎士・射手攻撃１_射撃",1.2,0,0,0,0,0,0,0,False,False,0,0,False,0,3,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
40,"守護騎士・狙撃手攻撃１_射撃",1,0,0,0,0,0,0,0,False,False,0,0,False,0,3,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
41,"強守護騎士・狙撃手攻撃１_射撃",1.5,0,0,0,0,0,0,0,False,False,0,0,False,0,3,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
42,"イビルグランサー攻撃1_ひっかき",1,100,25,0,0,0,0,0,False,True,2,1,False,0,1,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
43,"イビルグランサー攻撃2_滑空突撃",1,100,25,0,0,0,0,0,False,True,2,1,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
44,"フライングテイル攻撃1_ひっかき",1,100,25,50,0,0,0,0,False,True,2,1,False,0,1,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
45,"フライングテイル攻撃2_滑空突撃",1,100,25,0,0,0,0,0,False,True,2,1,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
46,"ヴァイスグレア攻撃1_ひっかき",1,100,25,0,0,0,0,0,False,True,2,1,False,0,1,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
47,"ヴァイスグレア攻撃2_滑空突撃",1,100,25,0,0,0,0,0,False,True,2,1,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
48,"ヴァイスグレア攻撃3_飛び道具",1,100,25,0,0,0,0,0,False,False,2,1,False,1,0,6,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
49,"フーピー・ドラゴン攻撃1_ひっかき",1,100,25,0,50,0,0,0,False,True,2,1,False,0,1,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
50,"フーピー・ドラゴン攻撃2_滑空突撃",1,100,25,0,0,0,0,0,False,True,2,1,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
51,"クアジット攻撃1_体当たり",1,100,25,0,0,0,0,0,False,True,2,1,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
52,"強クアジット攻撃飛び道具",1,100,25,0,0,0,0,0,False,False,2,1,False,1,0,3,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
53,"ドゥアジット攻撃1_体当たり",1,100,25,0,0,0,0,0,False,True,2,1,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
54,"強ドゥアジット飛び道具",1,100,25,0,0,0,0,0,False,False,2,1,False,1,0,1,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
55,"プチデビル攻撃1_体当たり",1,100,25,0,0,0,0,0,False,True,2,1,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
56,"強プチデビル飛び道具",1,100,25,0,0,0,0,0,False,False,2,1,False,1,0,2,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
57,"スフィアドラゴ攻撃1_体当たり",1,100,25,0,0,0,0,0,False,True,2,1,False,0,2,0,False,"SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01","SE_BTL_CHR_SLASH_HIT_01"
