// PlayerTraceTableId,PlayerTraceTableSubId,CommonRewardType,CommonRewardId,CommonRewardNum,Rate
1,1,4,0,100,9
2,1,3,170000,1,1
3,1000,4,0,1000,60
4,1000,4,0,3000,30
5,1000,3,170001,1,9
6,1000,3,170002,1,1
7,2000,4,0,1000,60
8,2000,4,0,3000,30
9,2000,3,170001,1,9
10,2000,3,170002,1,1
11,2010,4,0,1500,60
12,2010,4,0,4500,30
13,2010,3,170002,1,9
14,2010,3,170003,1,1
15,2020,4,0,2000,60
16,2020,4,0,6000,30
17,2020,3,170003,1,9
18,2020,3,170004,1,1
19,2030,4,0,3000,60
20,2030,4,0,9000,30
21,2030,3,170004,1,9
22,2030,3,170005,1,1
