// PropertyTableId,PropertyTableSubId,PropertyId,Value1Min,Value1Max,Value2Min,Value2Max,Rate
15,10000,1,0,0,0,0,10000
17,10001,1,0,0,0,0,5000
18,10001,100200,1,50,0,0,1250
19,10001,100300,1,50,0,0,1250
20,10001,100400,1,50,0,0,1250
21,10001,100500,1,50,0,0,1250
23,10010,1,0,0,0,0,2500
24,10010,100200,1,20,0,0,900
25,10010,100300,1,20,0,0,900
26,10010,100400,1,20,0,0,900
27,10010,100500,1,20,0,0,900
28,10010,100600,1,20,0,0,100
29,10010,100700,1,20,0,0,100
30,10010,100800,1,20,0,0,100
31,10010,101500,0,0,0,0,100
32,10010,101600,0,0,0,0,100
33,10010,101700,0,0,0,0,100
34,10010,101900,10,50,0,0,100
35,10010,102000,5,25,0,0,100
36,10010,102100,2,20,0,0,100
37,10010,102200,5,5,0,0,100
38,10010,102300,20,40,0,0,100
39,10010,102400,10,30,0,0,100
40,10010,102500,10,30,0,0,100
41,10010,102600,10,30,0,0,50
42,10010,102700,20,40,0,0,50
44,10011,1,0,0,0,0,2500
45,10011,100200,11,40,0,0,900
46,10011,100300,11,40,0,0,900
47,10011,100400,11,40,0,0,900
48,10011,100500,11,40,0,0,900
49,10011,100600,1,20,0,0,100
50,10011,100700,1,20,0,0,100
51,10011,100800,1,20,0,0,100
52,10011,101500,0,0,0,0,100
53,10011,101600,0,0,0,0,100
54,10011,101700,0,0,0,0,100
55,10011,101900,10,50,0,0,100
56,10011,102000,5,25,0,0,100
57,10011,102100,2,20,0,0,100
58,10011,102200,5,5,0,0,100
59,10011,102300,20,40,0,0,100
60,10011,102400,10,30,0,0,100
61,10011,102500,10,30,0,0,100
62,10011,102600,10,30,0,0,50
63,10011,102700,20,40,0,0,50
65,10012,1,0,0,0,0,2500
66,10012,100200,31,60,0,0,900
67,10012,100300,31,60,0,0,900
68,10012,100400,31,60,0,0,900
69,10012,100500,31,60,0,0,900
70,10012,100600,1,20,0,0,100
71,10012,100700,1,20,0,0,100
72,10012,100800,1,20,0,0,100
73,10012,101500,0,0,0,0,100
