// PropertyTypeId,PropertyTypeName,PhysicsAttr,MagicAttr,PermissionSameIdFlag,AutoEquipFlag
1,"なし",0,0,True,True
2,"未開放",0,0,True,True
3,"HP強化",0,0,True,True
4,"STR強化",0,0,True,True
5,"VIT強化",0,0,True,True
6,"INT強化",0,0,True,True
7,"斬属性の被ダメージ減少",0,0,True,True
8,"打属性の被ダメージ減少",0,0,True,True
9,"突属性の被ダメージ減少",0,0,True,True
10,"火属性の被ダメージ減少",0,0,True,True
11,"水属性の被ダメージ減少",0,0,True,True
12,"風属性の被ダメージ減少",0,0,True,True
13,"土属性の被ダメージ減少",0,0,True,True
14,"聖属性の被ダメージ減少",0,0,True,True
15,"闇属性の被ダメージ減少",0,0,True,True
16,"毒無効",0,0,False,True
17,"混乱無効",0,0,False,True
18,"封印無効",0,0,False,True
19,"地震無効",0,0,False,True
20,"クエストでの獲得Col上昇",0,0,True,True
21,"クエストでの獲得EXP上昇",0,0,True,True
22,"探索効率上昇",0,0,True,True
23,"全スキルのクールタイム短縮",0,0,False,True
24,"全損状態の修復時間を短縮",0,0,True,True
25,"ボスへのダメージ上昇",0,0,True,True
26,"Mobへのダメージ上昇",0,0,True,True
27,"HPMAXの時、与ダメージ上昇",0,0,True,True
28,"HP25％未満の時、与ダメージ上昇",0,0,True,True
29,"パーティに女性がいるとHP上昇",0,0,True,True
30,"パーティにキリトがいるとHP上昇",0,0,True,True
31,"攻撃に火属性を付与",0,1,False,True
32,"攻撃に水属性を付与",0,2,False,True
33,"攻撃に風属性を付与",0,3,False,True
34,"攻撃に土属性を付与",0,4,False,True
35,"攻撃に聖属性を付与",0,5,False,True
36,"攻撃に闇属性を付与",0,6,False,True
37,"攻撃時に確率で毒付与",0,0,True,True
38,"攻撃時に確率で麻痺付与",0,0,True,True
39,"攻撃時に確率で混乱付与",0,0,True,True
40,"攻撃時に確率で封印付与",0,0,True,True
41,"攻撃スキルのクールタイム短縮",0,0,False,True
42,"コンボによるダメージ上昇率アップ",0,0,True,True
43,"攻撃時に自分のHPを回復",0,0,True,True
44,"敵のVITを無視",0,0,True,True
45,"物理属性無し",0,0,False,True
46,"攻撃時に確率でSTRデバフ付与",0,0,True,True
47,"攻撃時に確率でVITデバフ付与",0,0,True,True
48,"攻撃時に自分にもダメージ",0,0,False,False
49,"全スキルのクールタイム延長",0,0,False,True
50,"パリィできない",0,0,False,True
51,"ガード時のダメージ減少効果上昇",0,0,False,True
52,"補助スキルのクールタイム短縮",0,0,False,True
53,"ガード時に状態異常を付与されない",0,0,False,True
54,"HP自動回復",0,0,True,True
55,"デバフ無効",0,0,False,True
56,"追加攻撃",0,0,True,True
57,"アクセラレーションのダメージ上昇率アップ",0,0,True,True
58,"攻撃時に確率で速度低下付与",0,0,True,True
59,"強化値と覚醒LVに応じてSTR上昇",0,0,True,True
60,"強化値と覚醒LVに応じてVIT上昇",0,0,True,True
61,"この武器のSTRを1.5倍する",0,0,False,True
62,"この防具のVITを1.5倍する",0,0,False,True
63,"VITに応じて魔法属性被ダメージ減少",0,0,False,True
64,"この武器での攻撃時、コンボの受付時間延長",0,0,True,True
65,"パーティにアスナがいるとSTR上昇",0,0,True,True
66,"パーティにユウキがいるとSTR上昇",0,0,True,True
67,"ドロップしたColを吸引",0,0,False,True
68,"魔法詠唱中にヨロケもダウンもしなくなる",0,0,False,True
69,"衰弱無効",0,0,False,True
70,"状態異常付与率上昇",0,0,True,True
71,"全損回避",0,0,True,True
72,"属性残存",0,0,False,True
73,"耐性記憶",0,0,True,True
74,"弱点を突いた時、与ダメージ上昇",0,0,True,True
75,"バリア破壊",0,0,False,True
76,"全損時にキリトのSTR上昇",0,0,True,True
77,"パーティに女性がいるとSTR上昇",0,0,True,True
78,"ダメージにSTRを加算",0,0,True,True
79,"イベントモンスターアイコン表示",0,0,False,True
80,"火だるま無効",0,0,False,True
81,"バフキャンセル無効",0,0,False,True
82,"氷咲相手に与ダメージ上昇",0,0,True,True
83,"パーティにキリトがいるとSTR上昇",0,0,True,True
100,"斬強化",0,0,True,True
101,"打強化",0,0,True,True
102,"突強化",0,0,True,True
103,"魔法強化",0,0,True,True
104,"火属性の与ダメージ上昇",0,0,True,True
105,"水属性の与ダメージ上昇",0,0,True,True
106,"風属性の与ダメージ上昇",0,0,True,True
107,"土属性の与ダメージ上昇",0,0,True,True
108,"聖属性の与ダメージ上昇",0,0,True,True
109,"闇属性の与ダメージ上昇",0,0,True,True
110,"ピナの与ダメージ上昇",0,0,True,True
111,"通常攻撃の与ダメージ上昇",0,0,True,True
112,"全損するまで与ダメージ上昇",0,0,True,True
113,"全損するまで状態異常無効",0,0,False,True
114,"他者からの属性付与無視",0,0,False,True
115,"パニッシャーフィールド貫通",0,0,True,True
116,"スキル条件をセット",0,0,False,True
117,"スキルの与ダメージ上昇",0,0,True,True
118,"スキル条件をセット1",0,0,False,True
119,"スキル条件をセット2",0,0,False,True
120,"スキル条件をセット3",0,0,False,True
121,"スキル条件をセット4",0,0,False,True
122,"スキル条件をセット5",0,0,False,True
123,"スキル条件をセット6",0,0,False,True
124,"スキル条件をセット7",0,0,False,True
125,"スキル条件をセット8",0,0,False,True
126,"スキル条件をセット9",0,0,False,True
127,"スキル条件をセット10",0,0,False,True
128,"寒冷地での与ダメージ上昇",0,0,True,True
129,"アダプタブルへのダメージ上昇",0,0,True,True
99999,"使用不可",0,0,True,True
