// QuestRareDropId,QuestSceneId,UnitId,CommonRewardType,CommonRewardId,CommonRewardNum,StrengthMin,StrengthMax,PropertyTableSubId,DropRate
7,2001,15311000,1,101000140,1,0,0,10062,0.8
8,2002,15041100,1,102000140,1,0,0,10072,0.8
9,2003,15010100,1,103000130,1,0,0,10082,0.8
10,2004,15100100,1,104000130,1,0,0,10122,0.8
11,2005,15020100,1,105000130,1,0,0,10092,0.8
12,2006,15110100,1,106000130,1,0,0,10122,0.8
13,2007,15050000,1,107000120,1,0,0,10102,0.8
14,2008,15300000,1,108000120,1,0,0,10112,0.8
15,3001,15040801,3,170000,1,0,0,0,0.8
16,3002,15110000,3,160000,1,0,0,0,0.8
17,3003,15040300,3,120330,1,0,0,0,0.8
18,3004,15080000,3,120320,1,0,0,0,0.8
19,3005,15301000,3,180001,1,0,0,0,0.8
20,3006,15140000,3,120300,1,0,0,0,0.8
21,3007,15100000,3,120310,1,0,0,0,0.8
22,3008,15170000,3,130150,1,0,0,0,0.8
23,3009,15040900,3,120350,1,0,0,0,0.8
24,10001,15150000,3,120360,1,0,0,0,0.8
25,3011,15040400,3,120340,1,0,0,0,0.8
26,3012,15430000,3,120330,1,0,0,0,0.8
27,3013,15200000,2,108000005,1,13,18,20011,0.8
28,3014,15090000,3,130090,1,0,0,0,0.8
29,3015,15041100,3,130100,1,0,0,0,0.8
30,3016,15100100,3,130120,1,0,0,0,0.8
31,3017,15050100,2,111000005,1,17,22,20061,0.8
32,3018,15080100,3,170001,1,0,0,0,0.8
33,3019,15020000,2,109000005,1,19,24,20031,0.8
34,10002,15010000,3,140000,1,0,0,0,0.8
35,3021,15170100,3,130110,1,0,0,0,0.8
36,3022,15180000,3,130140,1,0,0,0,0.8
37,3023,15050500,3,110210,1,0,0,0,0.8
38,3024,15040500,3,130130,1,0,0,0,0.8
39,3025,15020100,2,109000005,1,25,30,20032,0.8
40,3026,15310000,2,101000007,1,26,31,20012,0.8
41,3027,15010100,3,170002,1,0,0,0,0.8
42,3028,15050300,2,103000006,1,28,33,20022,0.8
43,3029,15040700,2,108000006,1,29,34,20012,0.8
44,10004,15140100,2,120000005,1,30,35,30060,0.8
45,3031,15040100,3,140000,1,0,0,0,0.8
46,3032,15110100,3,130190,1,0,0,0,0.8
47,3033,15040600,3,120390,1,0,0,0,0.8
48,3034,15300000,2,105000005,1,34,39,20013,0.8
49,3035,15010200,2,105000006,1,35,45,20013,0.8
50,3036,15100200,3,170003,1,0,0,0,0.8
51,3037,15080200,3,130200,1,0,0,0,0.8
52,3038,15041000,3,180003,1,0,0,0,0.8
53,3039,15050400,2,102000007,1,39,44,20000,0.8
54,10003,15180100,2,112000007,1,40,45,30020,0.8
55,3041,15090100,2,120000006,1,50,55,30070,0.8
56,3042,15150100,3,170004,1,0,0,0,0.8
57,3043,15200100,2,102000006,1,43,48,20014,0.8
58,3044,15040200,2,103000007,1,44,49,20000,0.8
59,3045,15050200,2,111000006,1,45,50,20014,0.8
60,3046,15050000,3,150040,1,0,0,0,0.8
61,3047,15420000,3,150030,1,0,0,0,0.8
62,3048,15040800,3,150020,1,0,0,0,0.8
63,3049,15020200,2,109000006,1,49,54,20034,0.8
64,10005,15040000,2,109000007,1,50,55,20034,0.8
