// RewardSetId,RewardSetSubId,CommonRewardType,CommonRewardId,CommonRewardNum,Strength,Property1PropertyId,Property1Value1,Property1Value2,Property2PropertyId,Property2Value1,Property2Value2,Property3PropertyId,Property3Value1,Property3Value2,Property4PropertyId,Property4Value1,Property4Value2
1,1,3,170003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
2,1,3,180003,1,0,1,0,0,1,0,0,1,0,0,1,0,0
3,2,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
4,2,3,180004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
5,3,1,101000120,1,0,1,0,0,1,0,0,2,0,0,2,0,0
6,3,3,170004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
7,3,3,180004,1,0,1,0,0,1,0,0,1,0,0,1,0,0
8,4,1,111000060,1,0,1,0,0,1,0,0,2,0,0,2,0,0
9,5,1,101000200,1,0,1,0,0,1,0,0,2,0,0,2,0,0
10,6,3,170005,20,0,1,0,0,1,0,0,1,0,0,1,0,0
11,7,8,299000700,1,0,1,0,0,1,0,0,1,0,0,1,0,0
12,8,1,111000150,1,0,1,0,0,1,0,0,1,0,0,1,0,0
13,9,1,101000260,1,0,1,0,0,1,0,0,1,0,0,1,0,0
14,10,8,291000030,1,0,1,0,0,1,0,0,1,0,0,1,0,0
15,11,1,104000280,1,0,1,0,0,1,0,0,1,0,0,1,0,0
16,12,8,290000090,1,0,1,0,0,1,0,0,1,0,0,1,0,0
17,13,1,102000270,1,0,1,0,0,1,0,0,1,0,0,1,0,0
18,14,8,297000110,1,0,1,0,0,1,0,0,1,0,0,1,0,0
19,15,1,102000150,1,0,1,0,0,1,0,0,1,0,0,1,0,0
20,16,1,104000140,1,0,1,0,0,1,0,0,1,0,0,1,0,0
21,17,1,103000140,1,0,1,0,0,1,0,0,1,0,0,1,0,0
