// SideQuestId,DisplayName,EpisodeNum,ExBonusTableSubId,QuestSceneId,RecommendLv,CommentSummary,CommentIntroduction,StartAdvName,EndAdvName
10001,"黒の剣士",1,2001,2001,32,"キリトに呼び出されてアクセスすると","新たなクエストが発生していた　共に攻略に挑む",,"SDEP01_01_ADV_01"
10002,"閃光",2,2002,2002,32,"アスナに呼び出されてアクセスすると","新たなクエストが発生していた　共に攻略に挑む",,"SDEP02_01_ADV_01"
10003,"スピードホリック",3,2003,2003,32,"リーファに呼び出されてアクセスすると","新たなクエストが発生していた　共に攻略に挑む",,"SDEP03_01_ADV_01"
10004,"冥界の女神",4,2004,2004,32,"シノンに呼び出されてアクセスすると","新たなクエストが発生していた　共に攻略に挑む",,"SDEP04_01_ADV_01"
10005,"マスターメイサー",5,2005,2005,32,"リズベットに呼び出されてアクセスすると","新たなクエストが発生していた　共に攻略に挑む",,"SDEP05_01_ADV_01"
10006,"ドラゴンテイマー",6,2006,2006,32,"シリカに呼び出されてアクセスすると","新たなクエストが発生していた　共に攻略に挑む",,"SDEP06_01_ADV_01"
10007,"風林火山",7,2007,2007,32,"クラインに呼び出されてアクセスすると","新たなクエストが発生していた　共に攻略に挑む",,"SDEP07_01_ADV_01"
10008,"剛腕マスター",8,2008,2008,32,"エギルに呼び出されてアクセスすると","新たなクエストが発生していた　共に攻略に挑む",,"SDEP08_01_ADV_01"
10009,"絶剣",9,2009,2009,40,"ユウキに呼び出されてアクセスすると","新たなクエストが発生していた　共に攻略に挑む",,"SDEP09_01_ADV_01"
10010,"鼠の情報屋",10,2010,2010,40,"アルゴに呼び出されてアクセスすると","新たなクエストが発生していた　共に攻略に挑む",,"SDEP10_01_ADV_01"
10011,"金木犀の騎士",11,2011,2011,40,"アリスに呼び出されてアクセスすると","新たなクエストが発生していた　共に攻略に挑む",,"SDEP11_01_ADV_01"
10012,"青薔薇の騎士",12,2012,2012,40,"ユージオに呼び出されてアクセスすると","新たなクエストが発生していた　共に攻略に挑む",,"SDEP12_01_ADV_01"
10018,"虹架ける歌声",18,2013,2013,40,"レインに呼び出されてアクセスすると","新たなクエストが発生していた　共に攻略に挑む",,"SDEP18_01_ADV_01"
