// Id,Text,Roma,FilepathLightBoy,FilepathLightGirl,FilepathBaseBoy,FilepathBaseGirl
1,"ア","a","star3_moji_tex/m3akt_hikari_01_a","star3_moji_tex/m3bkt_hikari_01_a","star4_moji_tex/m3akt_l_01_a","star4_moji_tex/m3bkt_l_01_a"
2,"イ","i","star3_moji_tex/m3akt_hikari_02_i","star3_moji_tex/m3bkt_hikari_02_i","star4_moji_tex/m3akt_l_02_i","star4_moji_tex/m3bkt_l_02_i"
3,"ウ","u","star3_moji_tex/m3akt_hikari_03_u","star3_moji_tex/m3bkt_hikari_03_u","star4_moji_tex/m3akt_l_03_u","star4_moji_tex/m3bkt_l_03_u"
4,"エ","e","star3_moji_tex/m3akt_hikari_04_e","star3_moji_tex/m3bkt_hikari_04_e","star4_moji_tex/m3akt_l_04_e","star4_moji_tex/m3bkt_l_04_e"
5,"オ","o","star3_moji_tex/m3akt_hikari_05_o","star3_moji_tex/m3bkt_hikari_05_o","star4_moji_tex/m3akt_l_05_o","star4_moji_tex/m3bkt_l_05_o"
6,"カ","ka","star3_moji_tex/m3akt_hikari_06_ka","star3_moji_tex/m3bkt_hikari_06_ka","star4_moji_tex/m3akt_l_06_ka","star4_moji_tex/m3bkt_l_06_ka"
7,"キ","ki","star3_moji_tex/m3akt_hikari_07_ki","star3_moji_tex/m3bkt_hikari_07_ki","star4_moji_tex/m3akt_l_07_ki","star4_moji_tex/m3bkt_l_07_ki"
8,"ク","ku","star3_moji_tex/m3akt_hikari_08_ku","star3_moji_tex/m3bkt_hikari_08_ku","star4_moji_tex/m3akt_l_08_ku","star4_moji_tex/m3bkt_l_08_ku"
9,"ケ","ke","star3_moji_tex/m3akt_hikari_09_ke","star3_moji_tex/m3bkt_hikari_09_ke","star4_moji_tex/m3akt_l_09_ke","star4_moji_tex/m3bkt_l_09_ke"
10,"コ","ko","star3_moji_tex/m3akt_hikari_10_ko","star3_moji_tex/m3bkt_hikari_10_ko","star4_moji_tex/m3akt_l_10_ko","star4_moji_tex/m3bkt_l_10_ko"
11,"サ","sa","star3_moji_tex/m3akt_hikari_11_sa","star3_moji_tex/m3bkt_hikari_11_sa","star4_moji_tex/m3akt_l_11_sa","star4_moji_tex/m3bkt_l_11_sa"
12,"シ","si","star3_moji_tex/m3akt_hikari_12_si","star3_moji_tex/m3bkt_hikari_12_si","star4_moji_tex/m3akt_l_12_si","star4_moji_tex/m3bkt_l_12_si"
