// SkillCutinId,SkillId,LevelLimit,SkillName4,SkillName3,Prefab,SubScene,CutInMode,PrefabMulti,SubSceneMulti,CutInModeMulti,SeName,Weapon
1,2004,4,"スターバースト・ストリーム","スターバースト・ストリーム","Develop/UI_cutinb/Prefabs/skill/skill_4_nit_01_sbs","skill_4_nit_01_sbs_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV04",2
2,3005,4,"スター・〇〇〇〇スプラッシュ","スター・〇〇〇〇スプラッシュ","Prefabs/UI/Cutin/skill/skill_4_rap_01_ssp","skill_4_rap_01_ssp_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV04",3
3,6003,3,"朧月夜","朧月夜","Prefabs/UI/Cutin/skill/skill_3_1line_mojix3","wazacutin_skill_3_ForSubscene","un_1line_mojix3","Prefabs/UI/Cutin/skill/skill_3_1line_mojix3","wazacutin_skill_3_ForSubscene","un_1line_mojix3","SEUI_BTL_CUTIN_LV03",6
5,1005,5,"ノヴァ・〇〇〇〇アセンション","ノヴァ・〇〇〇〇アセンション","Prefabs/UI/Cutin/skill/skill_5_oha_01_nva","skill_5_oha_01_nva_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV05",1
6,10015,5,"アダマン・〇〇〇〇ブレイカー","アダマン・〇〇〇ブレイカー","Prefabs/UI/Cutin/skill/skill_5_mac_01_adm","skill_5_mac_01_adm_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV05",10
7,4004,4,"アクセル・レイド","アクセル・〇〇〇レイド","Prefabs/UI/Cutin/skill/skill_4_dag_01_acr","skill_4_dag_01_acr_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV04",4
8,6005,5,"羅生門","羅生門","Prefabs/UI/Cutin/skill/skill_5_kat_01_rsm","skill_5_kat_01_rsm_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_1line_mojix3","wazacutin_skill_3_ForSubscene","un_1line_mojix3","SEUI_BTL_CUTIN_LV05",6
9,9005,4,"グラビティ・〇〇〇インパクト","グラビティ・〇〇インパクト","Prefabs/UI/Cutin/skill/skill_4_axe_01_gri","skill_4_axe_01_gri_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV04",9
10,12010,4,"ストライク・〇〇〇〇ノヴァ","ストライク・〇〇ノヴァ","Prefabs/UI/Cutin/skill/skill_4_bow_01_stn","skill_4_bow_01_stn_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV04",11
11,2005,5,"ジ・イクリプス","ジ・イクリプス","Prefabs/UI/Cutin/skill/skill_5_nit_01_ecl","skill_5_nit_01_ecl_ForSubscene","Wait","Prefabs/UI/Cutin/skill/skill_3_2line_moji86","wazacutin_skill_3_ForSubscene","un_2line_moji86","SEUI_BTL_CUTIN_LV05",2
