// SkillTableId,SkillTableSubId,Level,AwakeningId,SkillId
2,101000010,1,0,1002
3,101000010,1,0,1003
4,101000010,1,0,1014
5,101000010,3,0,30001
6,101000010,6,0,30310
7,101000010,10,0,30017
8,101000010,13,0,1011
9,101000010,16,0,30066
10,101000010,20,0,1016
11,101000010,25,0,30059
12,101000010,30,0,1009
13,101000010,40,0,30045
14,101000010,50,0,30311
15,101000010,1,1,30106
16,101000010,1,2,30062
17,101000010,1,3,30100
18,101000010,1,4,30101
19,101000010,1,5,30121
20,101000020,1,0,6001
21,101000020,1,0,6009
22,101000020,1,0,6014
23,101000020,3,0,30001
24,101000020,6,0,30310
25,101000020,10,0,30066
26,101000020,13,0,6007
27,101000020,16,0,30017
28,101000020,20,0,6013
29,101000020,25,0,30071
30,101000020,30,0,6011
31,101000020,40,0,30059
32,101000020,50,0,30311
33,101000020,1,1,30106
34,101000020,1,2,30062
35,101000020,1,3,30100
36,101000020,1,4,30101
37,101000020,1,5,30121
38,101000030,1,0,30310
39,101000030,1,0,2017
40,101000030,1,0,2014
41,101000030,3,0,30001
42,101000030,6,0,2016
43,101000030,10,0,30006
44,101000030,13,0,30311
45,101000030,16,0,30017
46,101000030,20,0,2004
47,101000030,25,0,30066
48,101000030,30,0,2015
49,101000030,40,0,30045
50,101000030,50,0,30009
51,101000030,1,1,30106
52,101000030,1,2,30062
53,101000030,1,3,30100
54,101000030,1,4,30101
55,101000030,1,5,30121
56,101000040,1,0,2002
57,101000040,1,0,2001
58,101000040,1,0,2004
59,101000040,3,0,30107
60,101000040,6,0,2010
61,101000040,10,0,30066
62,101000040,13,0,2015
63,101000040,16,0,30006
64,101000040,20,0,2011
65,101000040,25,0,30009
66,101000040,30,0,2014
67,101000040,40,0,30112
68,101000040,50,0,30071
69,101000040,1,1,30106
70,101000040,1,2,30100
71,101000040,1,3,30101
72,101000040,1,4,30120
73,101000040,1,5,30121
74,101000050,1,0,1017
75,101000050,1,0,1018
76,101000050,1,0,1014
77,101000050,3,0,30000
78,101000050,6,0,1002
79,101000050,10,0,30115
80,101000050,13,0,1016
81,101000050,16,0,30006
82,101000050,20,0,1003
83,101000050,25,0,30060
84,101000050,30,0,1001
85,101000050,40,0,30008
86,101000050,50,0,1009
87,101000050,1,1,30100
88,101000050,1,2,30102
89,101000050,1,3,30120
90,101000050,1,4,30121
91,101000050,1,5,30114
92,101000060,1,0,1002
93,101000060,1,0,1012
94,101000060,1,0,30000
95,101000060,3,0,30066
96,101000060,6,0,1001
97,101000060,10,0,30310
98,101000060,13,0,1016
99,101000060,16,0,30001
100,101000060,20,0,1015
101,101000060,25,0,30017
102,101000060,30,0,1011
103,101000060,40,0,30045
104,101000060,50,0,30311
105,101000060,1,1,30106
106,101000060,1,2,30100
107,101000060,1,3,30101
108,101000060,1,4,30120
109,101000060,1,5,30121
110,101000070,1,0,4002
111,101000070,1,0,4016
112,101000070,1,0,4017
113,101000070,3,0,30006
114,101000070,6,0,30057
115,101000070,10,0,30115
116,101000070,13,0,4004
117,101000070,16,0,30059
118,101000070,20,0,30058
119,101000070,25,0,30060
120,101000070,30,0,30008
121,101000070,40,0,30071
122,101000070,50,0,30072
123,101000070,1,1,30062
124,101000070,1,2,30100
125,101000070,1,3,30102
126,101000070,1,4,30120
127,101000070,1,5,30121
128,101000080,1,0,1009
129,101000080,1,0,1001
130,101000080,1,0,1002
131,101000080,3,0,30112
132,101000080,6,0,1003
133,101000080,10,0,30006
134,101000080,13,0,1016
135,101000080,16,0,1012
136,101000080,20,0,1011
137,101000080,25,0,30071
138,101000080,30,0,1014
139,101000080,40,0,30008
140,101000080,50,0,1015
141,101000080,1,1,30062
142,101000080,1,2,30100
143,101000080,1,3,30102
144,101000080,1,4,30120
145,101000080,1,5,30121
146,101000090,1,0,1017
147,101000090,1,0,1018
148,101000090,1,0,1014
149,101000090,3,0,30115
150,101000090,6,0,1016
151,101000090,10,0,30006
152,101000090,13,0,1003
153,101000090,16,0,30071
154,101000090,20,0,1009
155,101000090,25,0,30060
156,101000090,30,0,1002
157,101000090,40,0,30008
158,101000090,50,0,1001
159,101000090,1,1,1005
160,101000090,1,2,30100
161,101000090,1,3,30102
162,101000090,1,4,30121
163,101000090,1,5,30114
164,101000100,1,0,2011
165,101000100,1,0,2017
166,101000100,1,0,2014
167,101000100,3,0,30001
168,101000100,6,0,2004
169,101000100,10,0,30310
170,101000100,13,0,2010
171,101000100,16,0,30311
172,101000100,20,0,2002
173,101000100,25,0,30017
174,101000100,30,0,2001
175,101000100,40,0,30045
176,101000100,50,0,2016
177,101000100,1,1,2005
178,101000100,1,2,30100
179,101000100,1,3,30101
180,101000100,1,4,30062
181,101000100,1,5,30121
182,101000110,1,0,2002
183,101000110,1,0,2001
184,101000110,1,0,2014
185,101000110,3,0,30107
186,101000110,6,0,2004
187,101000110,10,0,30112
188,101000110,13,0,2015
189,101000110,16,0,30006
190,101000110,20,0,2012
191,101000110,25,0,30071
192,101000110,30,0,2010
193,101000110,40,0,30108
194,101000110,50,0,2011
195,101000110,1,1,2005
196,101000110,1,2,30100
197,101000110,1,3,30101
198,101000110,1,4,30120
199,101000110,1,5,30121
200,101000120,1,0,1009
201,101000120,1,0,1011
202,101000120,1,0,1019
203,101000120,3,0,30001
204,101000120,6,0,1013
205,101000120,10,0,30112
206,101000120,13,0,30310
207,101000120,16,0,30017
208,101000120,20,0,1014
209,101000120,25,0,30006
210,101000120,30,0,1012
211,101000120,40,0,30009
212,101000120,50,0,30311
213,101000120,1,1,1005
214,101000120,1,2,30100
215,101000120,1,3,30101
216,101000120,1,4,30062
217,101000120,1,5,30121
218,101000130,1,0,2002
219,101000130,1,0,2001
220,101000130,1,0,2004
221,101000130,3,0,30006
222,101000130,6,0,2015
223,101000130,10,0,30112
224,101000130,13,0,2011
225,101000130,16,0,30071
226,101000130,20,0,2013
227,101000130,25,0,30008
228,101000130,30,0,2014
229,101000130,40,0,30060
230,101000130,50,0,2012
231,101000130,1,1,2005
232,101000130,1,2,30100
233,101000130,1,3,30102
234,101000130,1,4,30120
235,101000130,1,5,30121
236,101000140,1,0,2002
237,101000140,1,0,2001
238,101000140,1,0,2014
239,101000140,3,0,30001
240,101000140,6,0,2004
241,101000140,10,0,30112
242,101000140,13,0,2016
243,101000140,16,0,30017
244,101000140,20,0,2017
245,101000140,25,0,30045
246,101000140,30,0,2015
247,101000140,40,0,30006
248,101000140,50,0,30009
249,101000140,1,1,2005
250,101000140,1,2,30100
251,101000140,1,3,30101
252,101000140,1,4,30120
253,101000140,1,5,30121
254,102000010,1,0,3001
255,102000010,1,0,3002
256,102000010,1,0,3004
257,102000010,3,0,30007
258,102000010,6,0,3011
259,102000010,10,0,30000
260,102000010,13,0,3003
261,102000010,16,0,30010
262,102000010,20,0,3005
263,102000010,25,0,30107
264,102000010,30,0,3014
265,102000010,40,0,30112
266,102000010,50,0,30108
267,102000010,1,1,30056
268,102000010,1,2,30104
269,102000010,1,3,30105
270,102000010,1,4,30054
271,102000010,1,5,30055
272,102000020,1,0,10001
273,102000020,1,0,10003
274,102000020,1,0,10006
275,102000020,3,0,30107
276,102000020,6,0,10008
277,102000020,10,0,30006
278,102000020,13,0,10002
279,102000020,16,0,30009
280,102000020,20,0,10014
281,102000020,25,0,30108
282,102000020,30,0,10005
283,102000020,40,0,30072
284,102000020,50,0,30059
285,102000020,1,1,30062
286,102000020,1,2,30100
287,102000020,1,3,30101
288,102000020,1,4,30120
289,102000020,1,5,30121
290,102000030,1,0,3011
291,102000030,1,0,30302
292,102000030,1,0,3003
293,102000030,3,0,30006
294,102000030,6,0,3016
295,102000030,10,0,30308
296,102000030,13,0,3012
297,102000030,16,0,30303
298,102000030,20,0,3005
299,102000030,25,0,30013
300,102000030,30,0,3002
301,102000030,40,0,30016
302,102000030,50,0,30309
303,102000030,1,1,30062
304,102000030,1,2,30100
305,102000030,1,3,30102
306,102000030,1,4,30121
307,102000030,1,5,30114
308,102000040,1,0,3001
309,102000040,1,0,3007
310,102000040,1,0,30004
311,102000040,3,0,30005
312,102000040,6,0,3016
313,102000040,10,0,30020
314,102000040,13,0,30302
315,102000040,16,0,30048
316,102000040,20,0,3005
317,102000040,25,0,30023
318,102000040,30,0,3004
319,102000040,40,0,30303
320,102000040,50,0,30051
321,102000040,1,1,30063
322,102000040,1,2,30104
323,102000040,1,3,30105
324,102000040,1,4,30053
325,102000040,1,5,30065
326,102000050,1,0,12006
327,102000050,1,0,12004
328,102000050,1,0,30004
329,102000050,3,0,30302
330,102000050,6,0,12007
331,102000050,10,0,30020
332,102000050,13,0,12010
333,102000050,16,0,30048
334,102000050,20,0,12005
335,102000050,25,0,30023
336,102000050,30,0,12008
337,102000050,40,0,30051
338,102000050,50,0,30303
339,102000050,1,1,30111
340,102000050,1,2,30104
341,102000050,1,3,30105
342,102000050,1,4,30054
343,102000050,1,5,30055
344,102000060,1,0,3011
345,102000060,1,0,3002
346,102000060,1,0,30004
347,102000060,3,0,30302
348,102000060,6,0,3004
349,102000060,10,0,30005
350,102000060,13,0,3005
351,102000060,16,0,30308
352,102000060,20,0,3001
353,102000060,25,0,30303
354,102000060,30,0,3016
355,102000060,40,0,30112
356,102000060,50,0,30309
357,102000060,1,1,30063
358,102000060,1,2,30056
359,102000060,1,3,30054
360,102000060,1,4,30055
361,102000060,1,5,30065
362,102000070,1,0,3001
363,102000070,1,0,3013
364,102000070,1,0,30000
365,102000070,3,0,30006
366,102000070,6,0,3002
367,102000070,10,0,3011
368,102000070,13,0,3005
369,102000070,16,0,30112
370,102000070,20,0,3004
371,102000070,25,0,3012
372,102000070,30,0,3007
373,102000070,40,0,30008
374,102000070,50,0,3014
375,102000070,1,1,30100
376,102000070,1,2,30102
377,102000070,1,3,30120
378,102000070,1,4,30121
379,102000070,1,5,30114
380,102000080,1,0,3011
381,102000080,1,0,3002
382,102000080,1,0,3013
383,102000080,3,0,30112
384,102000080,6,0,3012
385,102000080,10,0,30107
386,102000080,13,0,3005
387,102000080,16,0,30006
388,102000080,20,0,3007
389,102000080,25,0,30009
390,102000080,30,0,3014
391,102000080,40,0,30108
392,102000080,50,0,3003
393,102000080,1,1,30100
394,102000080,1,2,30101
395,102000080,1,3,30120
396,102000080,1,4,30121
397,102000080,1,5,30114
398,102000090,1,0,1002
399,102000090,1,0,1003
400,102000090,1,0,1011
401,102000090,3,0,30112
402,102000090,6,0,1016
403,102000090,10,0,30107
404,102000090,13,0,1014
405,102000090,16,0,30006
406,102000090,20,0,1009
407,102000090,25,0,30009
408,102000090,30,0,1001
409,102000090,40,0,30108
410,102000090,50,0,1015
411,102000090,1,1,1005
412,102000090,1,2,30100
413,102000090,1,3,30101
414,102000090,1,4,30120
415,102000090,1,5,30121
416,102000100,1,0,30302
417,102000100,1,0,3003
418,102000100,1,0,3016
419,102000100,3,0,30112
420,102000100,6,0,3005
421,102000100,10,0,30003
422,102000100,13,0,30308
423,102000100,16,0,30013
424,102000100,20,0,3001
425,102000100,25,0,30016
426,102000100,30,0,3002
427,102000100,40,0,30303
428,102000100,50,0,30309
429,102000100,1,1,3015
430,102000100,1,2,30062
431,102000100,1,3,30100
432,102000100,1,4,30101
433,102000100,1,5,30114
434,102000110,1,0,3011
435,102000110,1,0,3007
436,102000110,1,0,3004
437,102000110,3,0,30006
438,102000110,6,0,3005
439,102000110,10,0,30112
440,102000110,13,0,3012
441,102000110,16,0,30008
442,102000110,20,0,3002
443,102000110,25,0,30071
444,102000110,30,0,3014
445,102000110,40,0,30072
446,102000110,50,0,3003
447,102000110,1,1,3015
448,102000110,1,2,30100
449,102000110,1,3,30102
450,102000110,1,4,30120
451,102000110,1,5,30114
452,102000120,1,0,3011
453,102000120,1,0,30004
454,102000120,1,0,3005
455,102000120,3,0,30302
456,102000120,6,0,3002
457,102000120,10,0,30005
458,102000120,13,0,3001
459,102000120,16,0,30303
460,102000120,20,0,3013
461,102000120,25,0,30020
462,102000120,30,0,3003
463,102000120,40,0,30023
464,102000120,50,0,3016
465,102000120,1,1,3015
466,102000120,1,2,30063
467,102000120,1,3,30065
468,102000120,1,4,30056
469,102000120,1,5,30053
470,102000130,1,0,3012
471,102000130,1,0,3002
472,102000130,1,0,3005
473,102000130,3,0,30006
474,102000130,6,0,3014
475,102000130,10,0,30112
476,102000130,13,0,3011
477,102000130,16,0,3004
478,102000130,20,0,3001
479,102000130,25,0,30008
480,102000130,30,0,3013
481,102000130,40,0,3003
482,102000130,50,0,3007
483,102000130,1,1,3015
484,102000130,1,2,30100
485,102000130,1,3,30102
486,102000130,1,4,30121
487,102000130,1,5,30114
488,102000140,1,0,30302
489,102000140,1,0,3002
490,102000140,1,0,30303
491,102000140,3,0,30112
492,102000140,6,0,3005
493,102000140,10,0,30308
494,102000140,13,0,3004
495,102000140,16,0,30309
496,102000140,20,0,3016
497,102000140,25,0,30003
498,102000140,30,0,3011
499,102000140,40,0,30013
500,102000140,50,0,30016
501,102000140,1,1,3015
502,102000140,1,2,30062
503,102000140,1,3,30100
504,102000140,1,4,30101
505,102000140,1,5,30114
506,103000010,1,0,1002
507,103000010,1,0,1011
508,103000010,1,0,30000
509,103000010,3,0,30001
510,103000010,6,0,1014
511,103000010,10,0,30112
512,103000010,13,0,30304
513,103000010,16,0,30014
514,103000010,20,0,1019
515,103000010,25,0,30042
516,103000010,30,0,1013
517,103000010,40,0,30306
518,103000010,50,0,30305
519,103000010,1,1,30100
520,103000010,1,2,30101
521,103000010,1,3,30064
522,103000010,1,4,30056
523,103000010,1,5,30121
524,103000020,1,0,10005
525,103000020,1,0,10012
526,103000020,1,0,10004
527,103000020,3,0,30000
528,103000020,6,0,10001
529,103000020,10,0,30107
530,103000020,13,0,10003
531,103000020,16,0,30006
532,103000020,20,0,10014
533,103000020,25,0,30009
534,103000020,30,0,10008
535,103000020,40,0,30072
536,103000020,50,0,10006
537,103000020,1,1,30100
538,103000020,1,2,30101
539,103000020,1,3,30056
540,103000020,1,4,30120
541,103000020,1,5,30121
542,103000030,1,0,30304
543,103000030,1,0,1003
544,103000030,1,0,1014
545,103000030,3,0,30112
546,103000030,6,0,1011
547,103000030,10,0,30001
548,103000030,13,0,1002
549,103000030,16,0,30000
550,103000030,20,0,1019
551,103000030,25,0,30014
552,103000030,30,0,1009
553,103000030,40,0,30305
554,103000030,50,0,1013
555,103000030,1,1,30100
556,103000030,1,2,30101
557,103000030,1,3,30056
558,103000030,1,4,30120
559,103000030,1,5,30121
560,103000040,1,0,1009
561,103000040,1,0,1002
562,103000040,1,0,1001
563,103000040,3,0,30112
564,103000040,6,0,1011
565,103000040,10,0,30000
566,103000040,13,0,1003
567,103000040,16,0,30006
568,103000040,20,0,1016
569,103000040,25,0,30008
570,103000040,30,0,1015
571,103000040,40,0,30071
572,103000040,50,0,30072
573,103000040,1,1,30062
574,103000040,1,2,30100
575,103000040,1,3,30102
576,103000040,1,4,30120
577,103000040,1,5,30121
578,103000050,1,0,3001
579,103000050,1,0,3003
580,103000050,1,0,3004
581,103000050,3,0,30112
582,103000050,6,0,3012
583,103000050,10,0,30107
584,103000050,13,0,3005
585,103000050,16,0,30006
586,103000050,20,0,3007
587,103000050,25,0,30009
588,103000050,30,0,3014
589,103000050,40,0,30108
590,103000050,50,0,3002
591,103000050,1,1,30056
592,103000050,1,2,30100
593,103000050,1,3,30101
594,103000050,1,4,30120
595,103000050,1,5,30121
596,103000060,1,0,1009
597,103000060,1,0,1012
598,103000060,1,0,1014
599,103000060,3,0,30107
600,103000060,6,0,1011
601,103000060,10,0,30112
602,103000060,13,0,1016
603,103000060,16,0,30006
604,103000060,20,0,1003
605,103000060,25,0,30009
606,103000060,30,0,1001
607,103000060,40,0,30108
608,103000060,50,0,1015
609,103000060,1,1,30100
610,103000060,1,2,30101
611,103000060,1,3,30062
612,103000060,1,4,30120
613,103000060,1,5,30121
614,103000070,1,0,1001
615,103000070,1,0,1011
616,103000070,1,0,30002
617,103000070,3,0,30000
618,103000070,6,0,1013
619,103000070,10,0,30112
620,103000070,13,0,1019
621,103000070,16,0,30005
622,103000070,20,0,30304
623,103000070,25,0,30021
624,103000070,30,0,1015
625,103000070,40,0,30049
626,103000070,50,0,30305
627,103000070,1,1,30063
628,103000070,1,2,30054
629,103000070,1,3,30055
630,103000070,1,4,30056
631,103000070,1,5,30065
632,103000080,1,0,1001
633,103000080,1,0,1003
634,103000080,1,0,1015
635,103000080,3,0,30304
636,103000080,6,0,1014
637,103000080,10,0,30112
638,103000080,13,0,1019
639,103000080,16,0,30014
640,103000080,20,0,30306
641,103000080,25,0,30305
642,103000080,30,0,1011
643,103000080,40,0,30001
644,103000080,50,0,30307
645,103000080,1,1,30062
646,103000080,1,2,30100
647,103000080,1,3,30101
648,103000080,1,4,30120
649,103000080,1,5,30121
650,103000090,1,0,6002
651,103000090,1,0,30007
652,103000090,1,0,6007
653,103000090,3,0,30002
654,103000090,6,0,6013
655,103000090,10,0,30021
656,103000090,13,0,6014
657,103000090,16,0,30022
658,103000090,20,0,6011
659,103000090,25,0,30049
660,103000090,30,0,6001
661,103000090,40,0,30010
662,103000090,50,0,6009
663,103000090,1,1,6005
664,103000090,1,2,30056
665,103000090,1,3,30065
666,103000090,1,4,30104
667,103000090,1,5,30105
668,103000100,1,0,1009
669,103000100,1,0,30006
670,103000100,1,0,1014
671,103000100,3,0,30304
672,103000100,6,0,1019
673,103000100,10,0,30008
674,103000100,13,0,1003
675,103000100,16,0,30305
676,103000100,20,0,1011
677,103000100,25,0,30306
678,103000100,30,0,1001
679,103000100,40,0,30307
680,103000100,50,0,1015
681,103000100,1,1,1005
682,103000100,1,2,30100
683,103000100,1,3,30102
684,103000100,1,4,30120
685,103000100,1,5,30121
686,103000110,1,0,1001
687,103000110,1,0,30002
688,103000110,1,0,1019
689,103000110,3,0,30021
690,103000110,6,0,1013
691,103000110,10,0,30005
692,103000110,13,0,1014
693,103000110,16,0,30022
694,103000110,20,0,1011
695,103000110,25,0,30007
696,103000110,30,0,1003
697,103000110,40,0,30010
698,103000110,50,0,1015
699,103000110,1,1,1005
700,103000110,1,2,30065
701,103000110,1,3,30056
702,103000110,1,4,30104
703,103000110,1,5,30105
704,103000120,1,0,1009
705,103000120,1,0,1014
706,103000120,1,0,1016
707,103000120,3,0,30112
708,103000120,6,0,1015
709,103000120,10,0,30107
710,103000120,13,0,1003
711,103000120,16,0,30006
712,103000120,20,0,1011
713,103000120,25,0,30009
714,103000120,30,0,1002
715,103000120,40,0,30108
716,103000120,50,0,1012
717,103000120,1,1,1005
718,103000120,1,2,30100
719,103000120,1,3,30101
720,103000120,1,4,30120
721,103000120,1,5,30121
722,103000130,1,0,1002
723,103000130,1,0,1003
724,103000130,1,0,1013
725,103000130,3,0,30112
726,103000130,6,0,1019
727,103000130,10,0,30014
728,103000130,13,0,1011
729,103000130,16,0,30015
730,103000130,20,0,1015
731,103000130,25,0,30006
732,103000130,30,0,30304
733,103000130,40,0,30009
734,103000130,50,0,30305
735,103000130,1,1,1005
736,103000130,1,2,30100
737,103000130,1,3,30101
738,103000130,1,4,30056
739,103000130,1,5,30121
740,104000010,1,0,12006
741,104000010,1,0,12004
742,104000010,1,0,12003
743,104000010,3,0,30115
744,104000010,6,0,12009
745,104000010,10,0,30006
746,104000010,13,0,12005
747,104000010,16,0,30066
748,104000010,20,0,12010
749,104000010,25,0,30012
750,104000010,30,0,12008
751,104000010,40,0,30017
752,104000010,50,0,12007
753,104000010,1,1,30106
754,104000010,1,2,30111
755,104000010,1,3,30100
756,104000010,1,4,30101
757,104000010,1,5,30114
758,104000020,1,0,3001
759,104000020,1,0,3007
760,104000020,1,0,3013
761,104000020,3,0,30006
762,104000020,6,0,3011
763,104000020,10,0,30060
764,104000020,13,0,3004
765,104000020,16,0,30071
766,104000020,20,0,3005
767,104000020,25,0,30008
768,104000020,30,0,3012
769,104000020,40,0,30058
770,104000020,50,0,3002
771,104000020,1,1,30100
772,104000020,1,2,30102
773,104000020,1,3,30062
774,104000020,1,4,30120
775,104000020,1,5,30121
776,104000030,1,0,12006
