// SoundBgmId,RecordId,QueName,CueId,Volume,FadeIn,FadeOut
15,"BGM_BTL_BOSS","bgm",2,1,1,1
17,"BGM_ADV_BRIGHT","bgm",0,0.5,1,1
19,"BGM_BATTLE_BOSS","bgm",2,0.5,1,1
20,"BGM_BATTLE_BOSS401","bgm",5,0.5,1,1
21,"BGM_BTL_ALPHA_BOSS","bgm",6,0.5,1,1
22,"BGM_BTL_ALPHA_CLEARDEMO","bgm",7,0.5,1,1
23,"BGM_BTL_ALPHA_FIELD","bgm",8,0.5,1,1
24,"BGM_FIELD_GRASSLAND","bgm",3,0.5,1,1
25,"BGM_FIELD_TOWN","bgm",4,0.5,1,1
27,"BGM_ADV_BRIGHT_NORMAL","bgm",0,0.5,1,1
28,"BGM_ADV_BRIGHT_SMALL","bgm",0,0.5,1,1
29,"BGM_ADV_ALPHA_DUMMY_01","bgm",19,0.5,1,1
30,"BGM_ADV_LOVE","bgm",31,0.5,1,1
31,"BGM_ADV_HAPPY","bgm",30,0.5,1,1
32,"BGM_ADV_SAD","bgm",32,0.55,1,1
33,"BGM_ADV_SERIOUS","bgm",33,0.6,1,1
34,"BGM_ADV_DARK","bgm",1,0.6,1,1
35,"BGM_ADV_DAILY_CYBER","bgm",34,0.4,1,1
36,"BGM_ADV_DAILY_SAOALO","bgm",37,0.65,1,1
37,"BGM_ADV_DAILY_GGO","bgm",39,0.65,1,1
45,"BGM_F_WEST_DAYTIME_BASIC","bgm",15,0.65,3,1
46,"BGM_F_WEST_EVENING_BASIC","bgm",21,0.65,3,1
47,"BGM_F_WEST_NIGHT_BASIC","bgm",29,0.83,3,1
48,"BGM_F_WEST_BOSS","bgm",14,0.7,1,3
49,"BGM_F_DANAK_DAYTIME_BASIC","bgm",20,0.65,3,1
50,"BGM_F_DANAK_EVENING_BASIC","bgm",10,0.7,3,1
51,"BGM_F_DANAK_NIGHT_BASIC","bgm",11,0.65,3,1
52,"BGM_F_DANAK_BOSS","bgm",9,0.7,1,3
53,"BGM_F_LABYRINTH_BASIC","bgm",22,0.7,3,1
54,"BGM_F_LABYRINTH_BOSS","bgm",35,0.7,1,3
55,"BGM_F_WORLDTREE_DAYTIME_BASIC","bgm",17,0.65,3,1
56,"BGM_F_WORLDTREE_NIGHT_BASIC","bgm",28,0.75,3,1
57,"BGM_F_WORLDTREE_BOSS","bgm",16,0.65,1,3
58,"BGM_F_SRYMHEIMR_BASIC","bgm",13,0.65,3,1
59,"BGM_F_SRYMHEIMR_BOSS","bgm",38,0.65,1,3
60,"BGM_F_RUIN_EVENING_BASIC","bgm",26,0.75,3,1
61,"BGM_F_RUIN_NIGHT_BASIC","bgm",23,0.65,3,1
62,"BGM_F_RUIN_BOSS","bgm",12,0.8,1,3
63,"BGM_F_LEGEND_BOSS","bgm",40,0.65,1,3
64,"BGM_F_SWORD_LAND","bgm",34,0.5,3,1
65,"BGM_F_FLORIA_DAYTIME_BASIC","bgm_02",0,0.85,3,1
66,"BGM_F_FLORIA_EVENING_BASIC","bgm_201906patch",0,0.85,3,1
67,"BGM_F_FLORIA_BOSS","bgm",9,0.75,1,3
68,"BGM_F_GLOCKEN_DAYTIME_BASIC","bgm_201906patch",1,0.75,3,1
69,"BGM_F_GLOCKEN_NIGHT_BASIC","bgm_201906patch",2,0.8,3,1
70,"BGM_F_GLOCKEN_BOSS","bgm",12,0.8,1,3
71,"BGM_F_ADAPTABLE_BOSS","bgm_201906patch",3,0.75,1,3
72,"BGM_F_PUNISHER_BOSS","bgm_201907patch",1,0.75,1,3
73,"BGM_F_COAST_BASIC","bgm_201907patch",0,0.75,3,1
74,"BGM_F_WEST_MOUNTAIN_BASIC","bgm_201909patch_early",0,0.7,3,1
75,"BGM_F_WEST_MOUNTAIN_BOSS","bgm",14,0.7,1,3
76,"BGM_F_LOST_FOREST_BASIC","bgm_201912patch",0,0.8,3,1
77,"BGM_F_LOST_FOREST_BOSS","bgm",14,0.7,1,3
78,"BGM_F_ADAPTABLE_BOSS_EX","bgm_202002patch",0,0.75,1,3
80,"BGM_SYS_ATTRACT","bgm",42,0.5,3,3
81,"BGM_SYS_ATTRACT_DUMMY","bgm",42,0.5,3,3
82,"BGM_SYS_BANAPASS","bgm",25,0.7,3,3
83,"BGM_SYS_MAIN_MENU","bgm",18,0.6,3,3
84,"BGM_SYS_QUEST_READY","bgm",18,0.5,3,3
85,"BGM_SYS_QUEST_RESULT","bgm",7,0.5,3,3
86,"BGM_SYS_SITE_MENU","bgm",24,0.5,3,3
87,"BGM_SYS_DEFRAG_MENU","bgm_201911patch",0,0.85,3,3
