// SoundSeId,RecordId,QueName,CueId,Volume,DecayMin,DecayMax,PriorityIdentifier,SkipTime,IsUsePan,IsLoop
15,"SE_ADV_FOOT_NORMAL","se",2,1,20,25,0,1,True,True
16,"SE_ADV_FOOT_SMALL_VOLUME","se",2,0.5,20,25,0,1,True,True
17,"SE_ADV_FOOT_SMALL_RANGE","se",2,1,20,25,0,1,True,True
18,"SE_ADV_FOOT_LAST_ARRIVAL","se",2,1,20,25,1,1,True,True
19,"SE_ADV_FOOT_USE_PAN","se",2,1,20,25,0,1,False,True
20,"SE_ADV_FOOT_NO_USE_LOOP","se",2,1,20,25,0,1,True,False
22,"SE_BTL_CHR_CHANGE","se",113,1,20,25,1,1,True,False
23,"SE_BTL_CHR_DOWN","se",18,1,20,25,1,1,True,False
24,"SE_BTL_CHR_GETUP","se",19,1,20,25,1,1,True,False
25,"SE_BTL_CHR_GUARD_CATCH","se",20,1,20,25,1,1,True,False
26,"SE_BTL_CHR_GUARD_MOTION","se",21,1,20,25,1,1,True,False
27,"SE_BTL_CHR_MACE_HIT_01","se",22,1,20,25,1,1,True,False
28,"SE_BTL_CHR_MACE_HIT_02","se",23,1,20,25,1,1,True,False
29,"SE_BTL_CHR_MACE_HIT_03","se",24,1,20,25,1,1,True,False
30,"SE_BTL_CHR_MACE_MOTION","se",25,1,20,25,1,1,True,False
31,"SE_BTL_CHR_MAGIC_CHANT","se",26,1,20,25,1,1,True,False
32,"SE_BTL_CHR_MAGIC_HEAL_HIT","se",27,1,20,25,1,1,True,False
33,"SE_BTL_CHR_MAGIC_WATER_CAST","se",114,1,20,25,1,1,True,False
34,"SE_BTL_CHR_MOVE_L","se",28,1,20,25,1,1,True,False
35,"SE_BTL_CHR_MOVE_R","se",29,1,20,25,1,1,True,False
36,"SE_BTL_CHR_ON_HEAL_POINT_LOOP","se",135,1,20,25,1,1,True,False
37,"SE_BTL_CHR_SKILL_BUFF","se",30,1,20,25,1,1,True,False
38,"SE_BTL_CHR_SKILL_CHARGE","se",31,1,20,25,1,1,True,False
39,"SE_BTL_CHR_SKILL_ER","se",32,1,20,25,1,1,True,False
