// SoundVoiceId,RecordId,QueName,Volume,DecayMin,DecayMax,PriorityIdentifier,SkipTime,IsUsePan
1,"CH_AGI_ADV_001","ch_agi",1,1000,2000,1,0.1,True
2,"CH_AGI_ADV_002","ch_agi",1,1000,2000,1,0.1,True
3,"CH_AGI_ADV_003","ch_agi",1,1000,2000,1,0.1,True
4,"CH_AGI_ADV_004","ch_agi",1,1000,2000,1,0.1,True
5,"CH_AGI_ADV_005","ch_agi",1,1000,2000,1,0.1,True
6,"CH_AGI_ADV_006","ch_agi",1,1000,2000,1,0.1,True
7,"CH_AGI_ADV_007","ch_agi",1,1000,2000,1,0.1,True
8,"CH_AGI_ADV_008","ch_agi",1,1000,2000,1,0.1,True
9,"CH_AGI_ADV_009","ch_agi",1,1000,2000,1,0.1,True
10,"CH_AGI_ADV_010","ch_agi",1,1000,2000,1,0.1,True
11,"CH_AGI_ADV_011","ch_agi",1,1000,2000,1,0.1,True
12,"CH_AGI_ADV_012","ch_agi",1,1000,2000,1,0.1,True
13,"CH_AGI_ADV_013","ch_agi",1,1000,2000,1,0.1,True
14,"CH_AGI_ADV_014","ch_agi",1,1000,2000,1,0.1,True
15,"CH_AGI_ADV_015","ch_agi",1,1000,2000,1,0.1,True
16,"CH_AGI_ADV_016","ch_agi",1,1000,2000,1,0.1,True
17,"CH_AGI_ADV_017","ch_agi",1,1000,2000,1,0.1,True
18,"CH_AGI_ADV_018","ch_agi",1,1000,2000,1,0.1,True
19,"CH_AGI_ADV_019","ch_agi",1,1000,2000,1,0.1,True
20,"CH_AGI_ADV_020","ch_agi",1,1000,2000,1,0.1,True
21,"CH_AGI_ADV_021","ch_agi",1,1000,2000,1,0.1,True
22,"CH_AGI_ADV_022","ch_agi",1,1000,2000,1,0.1,True
23,"CH_AGI_ADV_023","ch_agi",1,1000,2000,1,0.1,True
24,"CH_AGI_ADV_024","ch_agi",1,1000,2000,1,0.1,True
25,"CH_AGI_ADV_025","ch_agi",1,1000,2000,1,0.1,True
26,"CH_AGI_ADV_026","ch_agi",1,1000,2000,1,0.1,True
27,"CH_AGI_ADV_027","ch_agi",1,1000,2000,1,0.1,True
28,"CH_AGI_ADV_028","ch_agi",1,1000,2000,1,0.1,True
29,"CH_AGI_ADV_029","ch_agi",1,1000,2000,1,0.1,True
30,"CH_AGI_ADV_030","ch_agi",1,1000,2000,1,0.1,True
31,"CH_AGI_BTL_001","ch_agi",1,20,40,1,0.1,True
32,"CH_AGI_BTL_002","ch_agi",1,20,40,1,0.1,True
33,"CH_AGI_BTL_003","ch_agi",1,20,40,1,0.1,True
34,"CH_AGI_BTL_004","ch_agi",1,20,40,1,0.1,True
35,"CH_AGI_BTL_005","ch_agi",1,20,40,1,0.1,True
36,"CH_AGI_BTL_006","ch_agi",1,20,40,1,0.1,True
37,"CH_AGI_BTL_007","ch_agi",1,20,40,1,0.1,True
38,"CH_AGI_BTL_008","ch_agi",1,20,40,1,0.1,True
39,"CH_AGI_BTL_009","ch_agi",1,20,40,1,0.1,True
40,"CH_AGI_BTL_010","ch_agi",1,20,40,1,0.1,True
41,"CH_AGI_BTL_011","ch_agi",1,20,40,1,0.1,True
42,"CH_AGI_BTL_012","ch_agi",1,20,40,1,0.1,True
43,"CH_AGI_BTL_013","ch_agi",1,20,40,1,0.1,True
44,"CH_AGI_BTL_014","ch_agi",1,20,40,1,0.1,True
45,"CH_AGI_BTL_015","ch_agi",1,20,40,1,0.1,True
46,"CH_AGI_BTL_016","ch_agi",1,20,40,1,0.1,True
47,"CH_AGI_BTL_017","ch_agi",1,20,40,1,0.1,True
48,"CH_AGI_BTL_018","ch_agi",1,20,40,1,0.1,True
49,"CH_AGI_BTL_019","ch_agi",1,20,40,1,0.1,True
