// ListId,SkillId,CharaId,RecordId,QueName,DelayTime
1,2004,1,"CH_KIR_BTL_131","ch_kir",50
2,2004,12,"CH_EUG_BTL_065","ch_eug",50
3,3005,2,"CH_ASU_BTL_132","ch_asu",50
4,3005,3,"CH_LEA_BTL_065","ch_lea",50
5,3005,4,"CH_SIN_BTL_066","ch_sin",50
6,3005,5,"CH_LIS_BTL_066","ch_lis",50
7,3005,6,"CH_SIL_BTL_065","ch_sil",50
8,3005,9,"CH_YUU_BTL_065","ch_yuu",50
9,3005,11,"CH_ALI_BTL_065","ch_ali",50
15,1005,1,"CH_KIR_BTL_067","ch_kir",160
16,1005,2,"CH_ASU_BTL_067","ch_asu",160
17,1005,3,"CH_LEA_BTL_067","ch_lea",160
18,1005,7,"CH_KLE_BTL_067","ch_kle",160
19,1005,9,"CH_YUU_BTL_067","ch_yuu",160
20,1005,10,"CH_ARG_BTL_066","ch_arg",160
21,1005,11,"CH_ALI_BTL_066","ch_ali",160
22,1005,12,"CH_EUG_BTL_067","ch_eug",160
23,1005,18,"CH_RAI_BTL_067","ch_rai",160
24,10015,2,"CH_ASU_BTL_066","ch_asu",160
25,10015,3,"CH_LEA_BTL_066","ch_lea",160
26,10015,4,"CH_SIN_BTL_067","ch_sin",160
27,10015,5,"CH_LIS_BTL_065","ch_lis",160
28,10015,6,"CH_SIL_BTL_066","ch_sil",160
29,10015,8,"CH_AGI_BTL_066","ch_agi",160
30,10015,10,"CH_ARG_BTL_065","ch_arg",160
31,4004,1,"CH_KIR_BTL_065","ch_kir",50
32,4004,4,"CH_SIN_BTL_066","ch_sin",50
33,4004,5,"CH_LIS_BTL_066","ch_lis",50
34,4004,6,"CH_SIL_BTL_065","ch_sil",50
35,4004,9,"CH_YUU_BTL_065","ch_yuu",50
36,4004,10,"CH_ARG_BTL_067","ch_arg",50
37,6005,1,"CH_KIR_BTL_066","ch_kir",160
38,6005,3,"CH_LEA_BTL_066","ch_lea",160
39,6005,7,"CH_KLE_BTL_066","ch_kle",160
40,6005,8,"CH_AGI_BTL_066","ch_agi",160
41,6005,9,"CH_YUU_BTL_066","ch_yuu",160
42,9005,5,"CH_LIS_BTL_066","ch_lis",50
43,9005,6,"CH_SIL_BTL_065","ch_sil",50
44,9005,7,"CH_KLE_BTL_065","ch_kle",50
45,9005,8,"CH_AGI_BTL_065","ch_agi",50
46,9005,10,"CH_ARG_BTL_067","ch_arg",50
47,9005,12,"CH_EUG_BTL_065","ch_eug",50
48,12010,2,"CH_ASU_BTL_065","ch_asu",50
49,12010,4,"CH_SIN_BTL_065","ch_sin",50
50,12010,7,"CH_KLE_BTL_065","ch_kle",50
51,12010,8,"CH_AGI_BTL_065","ch_agi",50
52,12010,5,"CH_LIS_BTL_066","ch_lis",50
53,12010,9,"CH_YUU_BTL_065","ch_yuu",50
54,2005,1,"CH_KIR_BTL_132","ch_kir",160
55,2005,12,"CH_EUG_BTL_066","ch_eug",160
175,1016,1,"CH_KIR_BTL_134","ch_kir",50
176,1016,2,"CH_ASU_BTL_065","ch_asu",50
177,1016,3,"CH_LEA_BTL_065","ch_lea",50
178,1016,7,"CH_KLE_BTL_065","ch_kle",50
179,1016,9,"CH_YUU_BTL_065","ch_yuu",50
180,1016,10,"CH_ARG_BTL_067","ch_arg",50
181,1016,11,"CH_ALI_BTL_065","ch_ali",50
182,1016,12,"CH_EUG_BTL_065","ch_eug",50
183,1016,18,"CH_RAI_BTL_066","ch_rai",50
184,1019,1,"CH_KIR_BTL_065","ch_kir",50
185,1019,2,"CH_ASU_BTL_065","ch_asu",50
186,1019,3,"CH_LEA_BTL_065","ch_lea",50
187,1019,7,"CH_KLE_BTL_065","ch_kle",50
188,1019,9,"CH_YUU_BTL_065","ch_yuu",50
189,1019,10,"CH_ARG_BTL_067","ch_arg",50
190,1019,11,"CH_ALI_BTL_065","ch_ali",50
191,1019,12,"CH_EUG_BTL_065","ch_eug",50
192,1019,18,"CH_RAI_BTL_066","ch_rai",50
193,3015,2,"CH_ASU_BTL_134","ch_asu",160
194,3015,3,"CH_LEA_BTL_067","ch_lea",160
195,3015,4,"CH_SIN_BTL_067","ch_sin",160
196,3015,5,"CH_LIS_BTL_067","ch_lis",160
197,3015,6,"CH_SIL_BTL_067","ch_sil",160
198,3015,9,"CH_YUU_BTL_067","ch_yuu",160
199,3015,11,"CH_ALI_BTL_067","ch_ali",160
200,10014,2,"CH_ASU_BTL_065","ch_asu",50
201,10014,3,"CH_LEA_BTL_065","ch_lea",50
202,10014,4,"CH_SIN_BTL_066","ch_sin",50
203,10014,5,"CH_LIS_BTL_066","ch_lis",50
204,10014,6,"CH_SIL_BTL_065","ch_sil",50
205,10014,8,"CH_AGI_BTL_065","ch_agi",50
206,10014,10,"CH_ARG_BTL_067","ch_arg",50
207,6013,1,"CH_KIR_BTL_065","ch_kir",50
208,6013,3,"CH_LEA_BTL_065","ch_lea",50
209,6013,7,"CH_KLE_BTL_065","ch_kle",50
210,6013,8,"CH_AGI_BTL_065","ch_agi",50
211,6013,9,"CH_YUU_BTL_065","ch_yuu",50
212,9014,5,"CH_LIS_BTL_066","ch_lis",160
213,9014,6,"CH_SIL_BTL_066","ch_sil",160
214,9014,7,"CH_KLE_BTL_066","ch_kle",160
215,9014,8,"CH_AGI_BTL_066","ch_agi",160
216,9014,10,"CH_ARG_BTL_066","ch_arg",160
217,9014,12,"CH_EUG_BTL_067","ch_eug",160
218,12011,2,"CH_ASU_BTL_067","ch_asu",160
219,12011,4,"CH_SIN_BTL_067","ch_sin",160
220,12011,7,"CH_KLE_BTL_067","ch_kle",160
221,12011,8,"CH_AGI_BTL_067","ch_agi",160
222,12011,5,"CH_LIS_BTL_067","ch_lis",160
223,12011,9,"CH_YUU_BTL_067","ch_yuu",160
224,4005,1,"CH_KIR_BTL_067","ch_kir",160
225,4005,4,"CH_SIN_BTL_067","ch_sin",160
226,4005,5,"CH_LIS_BTL_067","ch_lis",160
227,4005,6,"CH_SIL_BTL_067","ch_sil",160
228,4005,9,"CH_YUU_BTL_066","ch_yuu",160
229,4005,10,"CH_ARG_BTL_065","ch_arg",160
230,1006,9,"CH_YUU_BTL_131","ch_yuu",160
231,1006,2,"CH_ASU_BTL_133","ch_asu",160
232,3006,9,"CH_YUU_BTL_131","ch_yuu",160
233,3006,2,"CH_ASU_BTL_133","ch_asu",160
234,8004,10,"CH_ARG_BTL_067","ch_arg",50
235,8004,6,"CH_SIL_BTL_066","ch_sil",50
236,8005,10,"CH_ARG_BTL_065","ch_arg",160
237,8005,6,"CH_SIL_BTL_067","ch_sil",160
238,14008,4,"CH_SIN_BTL_065","ch_sin",50
239,14009,4,"CH_SIN_BTL_067","ch_sin",160
240,1020,3,"CH_LEA_BTL_163","ch_lea",50
241,3017,2,"CH_ASU_BTL_163","ch_asu",50
242,14007,4,"CH_SIN_BTL_164","ch_sin",50
243,1022,3,"CH_LEA_BTL_164","ch_lea",160
244,3019,2,"CH_ASU_BTL_164","ch_asu",160
245,14011,4,"CH_SIN_BTL_163","ch_sin",160
246,1023,12,"CH_EUG_BTL_131","ch_eug",50
247,1024,12,"CH_EUG_BTL_132","ch_eug",160
248,1027,11,"CH_ALI_BTL_134","ch_ali",50
249,1028,11,"CH_ALI_BTL_135","ch_ali",160
250,1037,1,"CH_KIR_SUP_004","ch_kir",50
251,29003,4,"CH_SIN_BTL_169","ch_sin",50
252,29003,6,"CH_SIL_BTL_169","ch_sil",50
253,29003,11,"CH_ALI_BTL_170","ch_ali",50
254,1040,11,"CH_ALI_BTL_169","ch_ali",160
255,4018,6,"CH_SIL_BTL_170","ch_sil",160
256,12012,4,"CH_SIN_BTL_170","ch_sin",160
257,29006,9,"CH_YUU_BTL_165","ch_yuu",50
258,29006,2,"CH_ASU_BTL_165","ch_asu",50
259,29006,5,"CH_LIS_BTL_165","ch_lis",50
260,1041,9,"CH_YUU_BTL_166","ch_yuu",160
261,3020,2,"CH_ASU_BTL_166","ch_asu",160
262,10018,5,"CH_LIS_BTL_166","ch_lis",160
263,2019,1,"CH_KIR_BTL_066","ch_kir",160
264,2004,3,"CH_LEA_BTL_065","ch_lea",50
265,2004,11,"CH_ALI_BTL_065","ch_ali",50
266,2005,3,"CH_LEA_BTL_066","ch_lea",160
267,2005,11,"CH_ALI_BTL_067","ch_ali",160
268,8004,1,"CH_KIR_BTL_065","ch_kir",50
269,8004,2,"CH_ASU_BTL_066","ch_asu",50
270,8004,3,"CH_LEA_BTL_066","ch_lea",50
271,8004,4,"CH_SIN_BTL_066","ch_sin",50
272,8004,5,"CH_LIS_BTL_066","ch_lis",50
273,8004,8,"CH_AGI_BTL_065","ch_agi",50
274,8004,9,"CH_YUU_BTL_066","ch_yuu",50
275,8005,1,"CH_KIR_BTL_067","ch_kir",160
276,8005,2,"CH_ASU_BTL_067","ch_asu",160
277,8005,3,"CH_LEA_BTL_067","ch_lea",160
278,8005,4,"CH_SIN_BTL_067","ch_sin",160
279,8005,5,"CH_LIS_BTL_067","ch_lis",160
280,8005,8,"CH_AGI_BTL_067","ch_agi",160
281,8005,9,"CH_YUU_BTL_067","ch_yuu",160
282,2023,18,"CH_RAI_BTL_131","ch_rai",160
283,2004,18,"CH_RAI_BTL_303","ch_rai",50
284,1043,3,"CH_LEA_BTL_067","ch_lea",160
285,2027,1,"CH_KIR_SUP_004","ch_kir",50
286,3026,2,"CH_ASU_BTL_066","ch_asu",160
287,12018,4,"CH_SIN_BTL_065","ch_sin",50
288,12019,4,"CH_SIN_BTL_067","ch_sin",160
289,2004,9,"CH_YUU_BTL_065","ch_yuu",50
290,2005,9,"CH_YUU_BTL_066","ch_yuu",160
291,29012,2,"CH_ASU_BTL_164","ch_asu",50
292,29012,3,"CH_LEA_BTL_163","ch_lea",50
293,29012,5,"CH_LIS_BTL_164","ch_lis",50
294,29012,6,"CH_SIL_BTL_164","ch_sil",50
295,29012,11,"CH_ALI_BTL_163","ch_ali",50
296,1044,11,"CH_ALI_BTL_164","ch_ali",160
297,4019,6,"CH_SIL_BTL_163","ch_sil",160
298,10019,5,"CH_LIS_BTL_163","ch_lis",160
299,6020,3,"CH_LEA_BTL_164","ch_lea",160
300,3030,2,"CH_ASU_ETC_001","ch_asu",160
301,4020,6,"CH_SIL_BTL_066","ch_sil",50
302,29006,3,"CH_LEA_BTL_165","ch_lea",50
303,29006,4,"CH_SIN_BTL_165","ch_sin",50
304,29006,11,"CH_ALI_BTL_165","ch_ali",50
305,1049,3,"CH_LEA_BTL_166","ch_lea",160
306,14017,4,"CH_SIN_BTL_166","ch_sin",160
307,1050,11,"CH_ALI_BTL_166","ch_ali",160
308,14008,2,"CH_ASU_BTL_065","ch_asu",50
309,14009,2,"CH_ASU_BTL_067","ch_asu",160
310,4004,11,"CH_ALI_BTL_065","ch_ali",50
311,4005,11,"CH_ALI_BTL_067","ch_ali",160
312,10014,9,"CH_YUU_BTL_065","ch_yuu",50
313,10015,9,"CH_YUU_BTL_066","ch_yuu",160
314,2029,1,"CH_KIR_BTL_058","ch_kir",160
315,2031,1,"CH_KIR_BTL_131","ch_kir",50
316,3033,2,"CH_ASU_BTL_134","ch_asu",160
317,29003,3,"CH_LEA_BTL_169","ch_lea",50
318,29003,10,"CH_ARG_BTL_170","ch_arg",50
319,29003,18,"CH_RAI_BTL_169","ch_rai",50
320,29003,2,"CH_ASU_BTL_169","ch_asu",50
321,29003,9,"CH_YUU_BTL_169","ch_yuu",50
322,1053,3,"CH_LEA_BTL_170","ch_lea",160
323,4018,10,"CH_ARG_BTL_169","ch_arg",160
324,2032,18,"CH_RAI_BTL_170","ch_rai",160
325,3034,2,"CH_ASU_BTL_170","ch_asu",160
326,1054,9,"CH_YUU_BTL_170","ch_yuu",160
327,1059,9,"CH_YUU_BTL_167","ch_yuu",50
328,1061,11,"CH_ALI_BTL_167","ch_ali",50
