// SubStateMonsterId,Name,UnitId,Pop,Dead,Found,Damage,Angry,Appear
15,"15010200.クン・リンドルム",15010200,,,"MO_501_02_Found","MO_501_02_DamState",,
16,"15540000.ラフコフボス(片手剣）",15540000,,,"MO_554_00_Found","MO_554_00_DamState",,
17,"15541000.ラフコフボス(細剣）",15541000,,,"MO_554_00_Found","MO_554_10_DamState",,
18,"15542000.ラフコフボス(短剣）",15542000,,,"MO_554_00_Found","MO_554_20_DamState",,
19,"15450000.ラーヴァクリーパー",15450000,,,"MO_545_00_Found",,"MO_545_00_Angry",
20,"15212000.ディアボロス（レジェンド）",15212000,,,"MO_521_20_Found","MO_521_20_DamState",,
21,"15212100.サタナキア（レジェンド）",15212100,,,"MO_521_21_Found","MO_521_21_DamState","MO_521_21_Angry",
22,"15520000.カガチ・ザ・サムライロード",15520000,,,"MO_552_00_Found",,"MO_552_00_Angry",
23,"15040200.ロキ",15040200,,,"MO_504_02_Found",,,
24,"15040000.オーディン",15040000,,,"MO_504_00_Found","MO_504_00_DamState","MO_504_00_Angry",
25,"15040400.バルドル",15040400,,,"MO_504_04_Found",,,
26,"15040600.ヴァ―リ",15040600,,,"MO_504_06_Found","MO_504_06_DamState","MO_504_06_Angry",
27,"15040700.ジークムント",15040700,,,"MO_504_07_Found",,,
28,"15040500.フルングニル",15040500,,,"MO_504_05_Found",,,
29,"15040900.ドルグスラシル",15040900,,,"MO_504_09_Found","MO_504_09_DamState","MO_504_09_Angry",
30,"15041000.ミーミル",15041000,,,"MO_504_10_Found",,,
31,"15050300.ランドクリーズ",15050300,,,"MO_505_03_Found",,,
32,"15050500.アウルボダ",15050500,,,"MO_505_05_Found",,,
33,"15090000.ヨルムンガンド",15090000,,,"MO_509_00_Found","MO_509_00_DamState","MO_509_00_Angry",
34,"15100100.ベルグリシ",15100100,,,"MO_510_01_Found",,,
35,"15110000.ラタトスク",15110000,,,"MO_511_00_Found",,,
36,"15140000.チェルノボグ",15140000,,,"MO_514_00_Found",,,
37,"15140100.アバドーン",15140100,,,"MO_514_01_Found",,,
38,"15170000.ガングレト",15170000,,,"MO_517_00_Found",,,
39,"15180000.ジ・アンブレイカブル",15180000,,,"MO_518_00_Found","MO_518_00_DamState",,
40,"15220000.パノプティコン（レジェンド）",15220000,,,"MO_522_00_Found","MO_522_00_DamState",,
41,"15300000.デトネイター・ザ・コボルドロード",15300000,,,"MO_530_00_Found",,,
42,"15301000.イルファング・ザ・コボルドロード",15301000,,,"MO_530_10_Found",,,
43,"15500000.グリームアイズ",15500000,,,"MO_550_00_Found","MO_550_00_DamState",,
44,"15510000.スリュム",15510000,,,"MO_551_00_Found",,,
45,"15500001.グリームアイズ（レジェンド）",15500001,,,"MO_550_00_Found","MO_550_00_DamState",,
46,"15510001.スリュム（レジェンド）",15510001,,,"MO_551_00_Found",,,
47,"15220100.プロビデンス（レジェンド）",15220100,"MO_522_01_Pop",,"MO_522_01_Found",,,
48,"15220101.プロビデンス（討伐用01）",15220101,"MO_522_01_Pop",,"MO_522_01_01_Found",,,
49,"15560000.スピリット・ザ・グースロード",15560000,,,"MO_556_00_Found",,,
50,"15590000.冥界王ハーデス",15590000,,,"MO_559_00_Found",,,
51,"15590001.冥界王ハーデス（TT用）",15590001,,,"MO_559_00_01_Found","MO_559_00_01_DamState","MO_559_00_01_Angry",
52,"15440000.レイディアンスイーター",15440000,,,"MO_544_00_Found",,,
53,"15501000.ガストアイズ",15501000,"MO_550_10_Pop",,"MO_550_10_Found",,,"MO_550_10_AdaptableDrop"
54,"15420000.アメディスター・ザ・クイーン",15420000,,,"MO_542_00_Found",,,
55,"15050400.ナンナ",15050400,,,"MO_505_04_Found","MO_505_04_DamState","MO_505_04_Angry",
56,"15100200.ファールバウティ",15100200,,,"MO_510_02_Found",,,
57,"15010100.ヴィゾーヴニル",15010100,,,"MO_501_01_Found",,,
58,"15560000.スピリット・ザ・グースロード",15560000,,,"MO_556_00_Found",,,
59,"15560001.スピリット・ザ・グースロード（討伐用01）",15560001,,,"MO_556_00_Found",,,
60,"35560000.スピリット・ザ・グースロード（サポログ召喚敵）",35560000,,,"MO_556_00_Found",,,
61,"15080100.フレースヴェルグ",15080100,,,"MO_508_01_Found",,,
62,"15150000.ハティ",15150000,,,"MO_515_00_Found",,,
63,"15150100.スコル",15150100,,,"MO_515_01_Found",,,
64,"15150101.スコル（中ボス用）",15150101,,,"MO_515_01_01_Found",,,
65,"15040800.ベオウルフ",15040800,,,"MO_504_08_Found",,,
66,"15200000.カローン",15200000,,,"MO_520_00_Found",,,
67,"15311000.スカルリーパー",15311000,,,"MO_531_10_Found","MO_531_10_DamState",,
69,"15301001.イルファング・ザ・コボルドロード（討伐用01）",15301001,,,"MO_530_10_Found",,,
71,"15501001.ガストアイズ（討伐用01）",15501001,"MO_550_10_Pop",,"MO_550_10_Found2",,,"MO_550_10_AdaptableDrop2"
72,"10190200.ゴールデン・グリード",10190200,,,"MO_019_02_00_Found",,,
73,"15521000.サムライロード_アダプタブル",15521000,,,"MO_552_10_Found",,,"MO_552_10_Drop"
