// TipsId,TipsText,TipsCategory
1,"<size=150%><color=#FF6699>《ステップアタック》<color=#FFFFFF><br><size=100%><color=#FFF352>ステップ中<color=#FFFFFF>に攻撃を行うと<color=#FFF352>ステップアタック<color=#FFFFFF>となる。<br>距離を詰めて攻撃でき、<color=#FFF352>多段ヒット<color=#FFFFFF>することもある。",0
2,"<size=150%><color=#FF6699>《ブレイクアタック》<color=#FFFFFF><br><size=100%><color=#FFF352>ガード中<color=#FFFFFF>に攻撃を行うと<color=#FFF352>ブレイクアタック<color=#FFFFFF>となる。<br>自分はよろけにくく<color=#FFF352>相手をよろけさせやすい<color=#FFFFFF>ため、<br>敵に囲まれた時等のピンチで使用すると良い。",0
3,"<size=150%><color=#FF6699>《攻撃属性の変化》<color=#FFFFFF><br><size=100%>刀、両手斧、クローは<color=#FFF352>ステップアタック<color=#FFFFFF>や<br><color=#FFF352>ブレイクアタック<color=#FFFFFF>で<color=#FFF352>物理攻撃の属性が変化<color=#FFFFFF>する。<br>敵の弱点属性に合わせて使い分けると良い。",0
4,"<size=150%><color=#FF6699>《狙撃》<color=#FFFFFF><br><size=100%>弓や狙撃銃を装備したメンバーは、<color=#FFF352>ガードの最中に<br>アクションボタンを押し続ける<color=#FFFFFF>と武器を構え<br><color=#FFF352>任意の方向<color=#FFFFFF>に狙いをつけて攻撃できる。",0
5,"<size=150%><color=#FF6699>《攻撃キャンセル》<color=#FFFFFF><br><size=100%>通常攻撃の最中に<color=#FFF352>ガードボタン<color=#FFFFFF>を押すと、<br><color=#FFF352>攻撃をキャンセル<color=#FFFFFF>して即座にガードできる。<br>危険を感じたらすぐにガードすると良い。",0
6,"<size=150%><color=#FF6699>《斬属性攻撃》<color=#FFFFFF><br><size=100%>斬属性攻撃はスライム等の<color=#FFF352>柔らかい敵<color=#FFFFFF>や<br><color=#FFF352>植物系の敵<color=#FFFFFF>にとって<color=#FFF352>弱点<color=#FFFFFF>となることが多く、<br>ゴーレム系を除けば<color=#FFF352>耐性を持つ敵が少ない<color=#FFFFFF>。",0
7,"<size=150%><color=#FF6699>《打属性攻撃》<color=#FFFFFF><br><size=100%>打属性攻撃はゴーレムやルーンナイト等の<br><color=#FFF352>硬い敵<color=#FFFFFF>にとって<color=#FFF352>弱点<color=#FFFFFF>となることが多いが、<br>スライム等の<color=#FFF352>柔らかい敵は耐性を持つ<color=#FFFFFF>。",0
8,"<size=150%><color=#FF6699>《突属性攻撃》<color=#FFFFFF><br><size=100%>突属性攻撃は羽や翼を持ち<color=#FFF352>飛行する敵<color=#FFFFFF>にとって<br><color=#FFF352>弱点<color=#FFFFFF>となることが多いが、スケルトン系の敵や<br>硬い敵など<color=#FFF352>耐性を持つ敵が多い<color=#FFFFFF>。",0
9,"<size=150%><color=#FF6699>《魔法属性》<color=#FFFFFF><br><size=100%><color=#FFF352>魔法攻撃や一部スキル<color=#FFFFFF>には火・水・風・土・聖・闇の<br><color=#FFF352>魔法属性<color=#FFFFFF>がある。大半の敵には<color=#FFF352>弱点となる魔法属性が<br>複数ある<color=#FFFFFF>ため、状況に応じて使い分けると良い。",0
10,"<size=150%><color=#FF6699>《火属性攻撃》<color=#FFFFFF><br><size=100%>火属性攻撃は<color=#FFF352>青い色の敵、虫系、植物系、<br>アンデッド系の敵<color=#FFFFFF>の多くにとって<color=#FFF352>弱点<color=#FFFFFF>となるが、<br><color=#FFF352>赤い色の敵<color=#FFFFFF>の多くは<color=#FFF352>耐性<color=#FFFFFF>をもつ。",0
