// TreasureHuntTaskTextId,TaskType,ConditionType,Format
100,1,0,"トライアルタワーを{1}回クリアせよ"
101,1,1,"{1}を{2}体討伐せよ"
102,1,2,"{1}を{2}個破壊せよ"
106,1,6,"{1}コンボ達成せよ"
107,1,7,"{1}秒以内にクリアせよ"
108,1,8,"ノーコンティニューでクリアせよ"
109,1,9,"未解析ログを{1}個獲得せよ！"
200,2,0,"トライアルタワーを{1}回クリアせよ"
201,2,1,"{1}を{2}体討伐せよ"
202,2,2,"{1}を{2}個破壊せよ"
206,2,6,"{1}コンボ達成せよ"
207,2,7,"{1}秒以内にクリアせよ"
208,2,8,"ノーコンティニューでクリアせよ"
209,2,9,"未解析ログを{1}個獲得せよ！"
300,3,0,"{0}階層をクリアせよ"
301,3,1,"{0}階層で{1}を{2}体討伐せよ"
302,3,2,"{0}階層で{1}を{2}個破壊せよ"
306,3,6,"{0}階層で{1}コンボ達成してクリアせよ"
307,3,7,"{0}階層を{1}秒以内にクリアせよ"
308,3,8,"{0}階層をノーコンティニューでクリアせよ"
