// UnitId,Name,Prefab,Animator,Collision,Radius,ChildUnitId,StageStartPrefab,StageStartY,StageStartZ,StageTouchY,StageTouchZ,Playable,Monster,Gimmick,Anger,Commander,Isolated,BaseBehaviour,SoundBehaviour,WeaponType,PoisonTimeCoef,ParalysisTimeCoef,SealedTimeCoef,QuestionTimeCoef,BlueRoseTimeCoef,CharmTimeCoef,BurningTimeCoef,InvalidQuake,GuardCoef,JustGuardTime,FlipHp,DownHp,FlipRecoverTime,DownRecoverTime,DownTime,LossDamage,LossTime,MoveSpeed,MoveSpeedAngry,RotSpeed,RotSpeedAngry,RangeMin,RangeMax,RangeMinAngry,RangeMaxAngry,BackStepSpeed,BackStepSpeedAngry,BackStepCoolTime,MonsterType,MonsterTypeAngry,VsBossType,BossCameraHeight,BossCameraNearDistance,BossCameraFarDistance,BossCameraNearRange,BossCameraFarRange,SearchRange,SearchAngle,LostRange,HomeRange,RoarId,AutoAttackRange,AutoAttackInterval,FindPriority,FindRangeMin,FindRangeMax,LeaveRange,ShowArrow,FindId,LeaveId,DefeatId,WarfareId,AngryId,BadStateBone,BadStateOffsetX,BadStateOffsetY,BadStateOffsetZ,DropOffsetY,ColDropPercentage,ColDropAmount,VpDropPercentage,VpDropAmount,EnemyKindId,DefragMatchLeaguePoint
101000010,"≪黒き妖精≫キリト　（旧ALO・片手剣）","Prefabs/Characters/ch_kiroa","Animators/ch_kir/Kir1HandAnimatorController","CH_M",0,0,"Prefabs/Camera/Animation/camera_solo_Left",0,0,0,0,True,False,False,False,False,False,"CharaBehaviour","CharaSoundBehaviour",1,1,1,1,1,1,1,1,False,0.5,0.15,100,100,5,5,0.1,5,10,7,7,1440,1440,2,3,2,3,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,,4,3,999,20,40,40,True,,,,,,"Head",0,1,0,0,0,0,0,0,0,0
101000020,"≪新生の黒き剣士≫キリト　（ALO・刀）","Prefabs/Characters/ch_kir","Animators/ch_kir/KirKatanaAnimatorController","CH_M",0,0,"Prefabs/Camera/Animation/camera_solo_Right",0,0,0,0,True,False,False,False,False,False,"CharaBehaviour","CharaSoundBehaviour",6,1,1,1,1,1,1,1,False,0.5,0.15,100,100,5,5,0.1,10,10,7,7,1440,1440,2,3,2,3,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,,4,3,999,20,40,40,True,,,,,,"Head",0,1,0,0,0,0,0,0,0,0
101000030,"≪空舞う双牙≫キリト　（ALO・二刀流）","Prefabs/Characters/ch_kir","Animators/ch_kir/KirAnimatorController","CH_M",0,0,"Prefabs/Camera/Animation/camera_solo_Right",0,0,0,0,True,False,False,False,False,False,"CharaBehaviour","CharaSoundBehaviour",2,1,1,1,1,1,1,1,False,0.5,0.15,100,100,5,5,0.1,10,10,7,7,1440,1440,2,3,2,3,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,,4,3,999,20,40,40,True,,,,,,"Head",0,1,0,0,0,0,0,0,0,0
101000040,"≪神技の黒影≫キリト　（SAO・二刀流）","Prefabs/Characters/ch_kirsa","Animators/ch_kir/KirAnimatorController","CH_M",0,0,"Prefabs/Camera/Animation/camera_solo_Right",0,0,0,0,True,False,False,False,False,False,"CharaBehaviour","CharaSoundBehaviour",2,1,1,1,1,1,1,1,False,0.5,0.15,100,100,5,5,0.1,15,10,7,7,1440,1440,2,3,2,3,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,,4,3,999,20,40,40,True,,,,,,"Head",0,1,0,0,0,0,0,0,0,0
101000050,"≪銃世界の黒き剣士≫　キリト（GGO・片手剣）","Prefabs/Characters/ch_kirgg","Animators/ch_kir/Kirgg1HandAnimatorController","CH_M",0,0,"Prefabs/Camera/Animation/camera_solo_Left",0,0,0,0,True,False,False,False,False,False,"CharaBehaviour","CharaSoundBehaviour",1,1,1,1,1,1,1,1,False,0.5,0.15,100,100,5,5,0.1,15,10,7,7,1440,1440,2,3,2,3,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,,4,3,999,20,40,40,True,,,,,,"Head",0,1,0,0,0,0,0,0,0,0
101000060,"≪漆黒の旋風≫キリト　（旧ALO・片手剣）","Prefabs/Characters/ch_kiroa","Animators/ch_kir/Kir1HandAnimatorController","CH_M",0,0,"Prefabs/Camera/Animation/camera_solo_Left",0,0,0,0,True,False,False,False,False,False,"CharaBehaviour","CharaSoundBehaviour",1,1,1,1,1,1,1,1,False,0.5,0.15,100,100,5,5,0.1,15,10,7,7,1440,1440,2,3,2,3,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,,4,3,999,20,40,40,True,,,,,,"Head",0,1,0,0,0,0,0,0,0,0
101000070,"≪神速の刃≫キリト　（ALO・短剣）","Prefabs/Characters/ch_kir","Animators/ch_kir/KirDaggerAnimatorController","CH_M",0,0,"Prefabs/Camera/Animation/camera_solo_Right",0,0,0,0,True,False,False,False,False,False,"CharaBehaviour","CharaSoundBehaviour",4,1,1,1,1,1,1,1,False,0.5,0.15,100,100,5,5,0.1,15,10,7,7,1440,1440,2,3,2,3,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,,4,3,999,20,40,40,True,,,,,,"Head",0,1,0,0,0,0,0,0,0,0
101000080,"≪黒の剣士≫キリト　（SAO・片手剣）","Prefabs/Characters/ch_kirsa","Animators/ch_kir/Kir1HandAnimatorController","CH_M",0,0,"Prefabs/Camera/Animation/camera_solo_Left",0,0,0,0,True,False,False,False,False,False,"CharaBehaviour","CharaSoundBehaviour",1,1,1,1,1,1,1,1,False,0.5,0.15,100,100,5,5,0.1,15,10,7,7,1440,1440,2,3,2,3,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,,4,3,999,20,40,40,True,,,,,,"Head",0,1,0,0,0,0,0,0,0,0
101000090,"≪光剣一閃≫キリト　（GGO・片手剣）","Prefabs/Characters/ch_kirgg","Animators/ch_kir/Kirgg1HandAnimatorController","CH_M",0,0,"Prefabs/Camera/Animation/camera_solo_Left",0,0,0,0,True,False,False,False,False,False,"CharaBehaviour","CharaSoundBehaviour",1,1,1,1,1,1,1,1,False,0.5,0.15,100,100,5,5,0.1,20,10,7,7,1440,1440,2,3,2,3,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,,4,3,999,20,40,40,True,,,,,,"Head",0,1,0,0,0,0,0,0,0,0
101000100,"≪二剣瞬撃≫キリト　（ALO・二刀流）","Prefabs/Characters/ch_kir","Animators/ch_kir/KirAnimatorController","CH_M",0,0,"Prefabs/Camera/Animation/camera_solo_Right",0,0,0,0,True,False,False,False,False,False,"CharaBehaviour","CharaSoundBehaviour",2,1,1,1,1,1,1,1,False,0.5,0.15,100,100,5,5,0.1,20,10,7,7,1440,1440,2,3,2,3,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,,4,3,999,20,40,40,True,,,,,,"Head",0,1,0,0,0,0,0,0,0,0
101000110,"≪団結と鼓舞≫キリト　（SAO・片手剣）","Prefabs/Characters/ch_kirsa","Animators/ch_kir/KirAnimatorController","CH_M",0,0,"Prefabs/Camera/Animation/camera_solo_Right",0,0,0,0,True,False,False,False,False,False,"CharaBehaviour","CharaSoundBehaviour",2,1,1,1,1,1,1,1,False,0.5,0.15,100,100,5,5,0.1,20,10,7,7,1440,1440,2,3,2,3,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,,4,3,999,20,40,40,True,,,,,,"Head",0,1,0,0,0,0,0,0,0,0
101000120,"≪心頼の誓い≫キリト　（ALO・片手剣）","Prefabs/Characters/ch_kir","Animators/ch_kir/Kir1HandAnimatorController","CH_M",0,0,"Prefabs/Camera/Animation/camera_solo_Left",0,0,0,0,True,False,False,False,False,False,"CharaBehaviour","CharaSoundBehaviour",1,1,1,1,1,1,1,1,False,0.5,0.15,100,100,5,5,0.1,25,10,7,7,1440,1440,2,3,2,3,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,,4,3,999,20,40,40,True,,,,,,"Head",0,1,0,0,0,0,0,0,0,0
101000130,"≪神域の双剣使い≫キリト　（SAO・二刀流）","Prefabs/Characters/ch_kirsa","Animators/ch_kir/KirAnimatorController","CH_M",0,0,"Prefabs/Camera/Animation/camera_solo_Right",0,0,0,0,True,False,False,False,False,False,"CharaBehaviour","CharaSoundBehaviour",2,1,1,1,1,1,1,1,False,0.5,0.15,100,100,5,5,0.1,25,10,7,7,1440,1440,2,3,2,3,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,,4,3,999,20,40,40,True,,,,,,"Head",0,1,0,0,0,0,0,0,0,0
101000140,"≪静穏の笑み≫キリト　（ALO・二刀流）","Prefabs/Characters/ch_kir","Animators/ch_kir/KirAnimatorController","CH_M",0,0,"Prefabs/Camera/Animation/camera_solo_Right",0,0,0,0,True,False,False,False,False,False,"CharaBehaviour","CharaSoundBehaviour",2,1,1,1,1,1,1,1,False,0.5,0.15,100,100,5,5,0.1,20,10,7,7,1440,1440,2,3,2,3,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,,4,3,999,20,40,40,True,,,,,,"Head",0,1,0,0,0,0,0,0,0,0
102000010,"≪煌輝の光影≫アスナ　（SAO・細剣）","Prefabs/Characters/ch_asusa","Animators/ch_asu/AsusaRapierAnimatorController","CH_M",0,0,"Prefabs/Camera/Animation/camera_solo_Right",0,0,0,0,True,False,False,False,False,False,"CharaBehaviour","CharaSoundBehaviour",3,1,1,1,1,1,1,1,False,0.5,0.15,100,100,5,5,0.1,5,10,7,7,1440,1440,2,3,2,3,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,,4,3,999,20,40,40,True,,,,,,"Head",0,1,0,0,0,0,0,0,0,0
102000020,"≪ひだまりの笑顔≫アスナ　（SAO・メイス）","Prefabs/Characters/ch_asusa","Animators/ch_asu/AsuMaceAnimatorController","CH_M",0,0,"Prefabs/Camera/Animation/camera_solo_Center",0,0,0,0,True,False,False,False,False,False,"CharaBehaviour","CharaSoundBehaviour",10,1,1,1,1,1,1,1,False,0.5,0.15,100,100,5,5,0.1,10,10,7,7,1440,1440,2,3,2,3,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,,4,3,999,20,40,40,True,,,,,,"Head",0,1,0,0,0,0,0,0,0,0
102000030,"≪流水の如き剣≫アスナ　（ALO・細剣）","Prefabs/Characters/ch_asu","Animators/ch_asu/AsuAnimatorController","CH_M",0,0,"Prefabs/Camera/Animation/camera_solo_Right",0,0,0,0,True,False,False,False,False,False,"CharaBehaviour","CharaSoundBehaviour",3,1,1,1,1,1,1,1,False,0.5,0.15,100,100,5,5,0.1,10,10,7,7,1440,1440,2,3,2,3,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,,4,3,999,20,40,40,True,,,,,,"Head",0,1,0,0,0,0,0,0,0,0
