// Keyword,UnitCollisionId,Name,Bone,Usually,Angry,TypeIndex,BeginX,BeginY,BeginZ,EndX,EndY,EndZ,Radius,SlashCoef,StrikeCoef,ThrustCoef,FireCoef,WaterCoef,AirCoef,EarthCoef,HolyCoef,DarkCoef,PoisonCoef,ParalysisCoef,SealedCoef,QuestionCoef,BlueRoseCoef,CharmCoef,BurningCoef,FlipCoef,DownCoef,KnockBackCoef
"CH_S",14,"キャラクター小",,True,True,0,0,0,0,0,1.5,0,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CH_M",15,"キャラクター中",,True,True,0,0,0,0,0,1.5,0,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CH_L",16,"キャラクター大",,True,True,0,0,0,0,0,1.5,0,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"CH_SP1",17,"キャラクター特殊１",,True,True,0,0,0,0,0,1.5,0,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"MO_501_00",27,"ファフニール","Spine1",True,False,0,0,0,0,0,-2,0,4,1,1,1,0.5,2,1,2,1,1,0.2,0.05,0.05,0.05,0.2,0,0,1,0.4,0.5
"MO_501_00",28,"ファフニール","Hips",True,False,0,0,0,0,0,-2,-2,4,1,1,1,0.5,2,1,2,1,1,0.2,0.05,0.05,0.05,0.2,0,0,1,0.4,0.5
"MO_501_00",29,"ファフニール","Head",True,False,0,0,0,0,0,0,0,1.5,1,1,1,0.5,2,1,2,1,1,0.2,0.05,0.05,0.05,0.2,0,0,1,0.4,1
"MO_501_00",30,"ファフニール","LeftWing_03",True,False,0,0,0,0,0,0,-1,3,1,1,1,0.5,2,1,2,1,1,0.2,0.05,0.05,0.05,0.2,0,0,1,0.4,0.5
"MO_501_00",31,"ファフニール","RightWing_03",True,False,0,0,0,0,0,0,-1,3,1,1,1,0.5,2,1,2,1,1,0.2,0.05,0.05,0.05,0.2,0,0,1,0.4,0.5
"MO_501_00",32,"ファフニール","LeftWing_04",True,False,0,0,0,0,-1,0,-2,3,1,1,1,0.5,2,1,2,1,1,0.2,0.05,0.05,0.05,0.2,0,0,1,0.4,0.5
"MO_501_00",33,"ファフニール","RightWing_04",True,False,0,0,0,0,1,0,-2,3,1,1,1,0.5,2,1,2,1,1,0.2,0.05,0.05,0.05,0.2,0,0,1,0.4,0.5
"MO_501_00",34,"ファフニール","Tail_02",True,False,0,0,0,0,0,0,0,2,1.5,1.2,1.2,0.5,2,1,2,1,1,0.2,0.05,0.05,0.05,0.2,0,0,1,0.4,0.5
"MO_501_00",35,"ファフニール","Tail_04",True,False,0,0,0,0,0,0,0,2,1.5,1.2,1.2,0.5,2,1,2,1,1,0.2,0.05,0.05,0.05,0.2,0,0,1,0.4,0.5
"MO_501_00",36,"ファフニール","Tail_06",True,False,0,0,0,0,0,0,-2,2,1.5,1.2,1.2,0.5,2,1,2,1,1,0.2,0.05,0.05,0.05,0.2,0,0,1,0.4,0.5
"MO_501_00",37,"ファフニール","Spine1",False,True,0,0,0,0,0,-2,0,4,1,1,1,0.5,2,1,2,1,1,0.2,0.05,0.05,0.05,0.2,0,0,0.2,0.1,0.5
"MO_501_00",38,"ファフニール","Hips",False,True,0,0,0,0,0,-2,-2,4,1,1,1,0.5,2,1,2,1,1,0.2,0.05,0.05,0.05,0.2,0,0,0.2,0.1,0.5
"MO_501_00",39,"ファフニール","Head",False,True,0,0,0,0,0,0,0,1.5,1,1,1,0.5,2,1,2,1,1,0.2,0.05,0.05,0.05,0.2,0,0,0.2,0.1,1
"MO_501_00",40,"ファフニール","LeftWing_03",False,True,0,0,0,0,0,0,-1,3,1,1,1,0.5,2,1,2,1,1,0.2,0.05,0.05,0.05,0.2,0,0,0.2,0.1,0.5
"MO_501_00",41,"ファフニール","RightWing_03",False,True,0,0,0,0,0,0,-1,3,1,1,1,0.5,2,1,2,1,1,0.2,0.05,0.05,0.05,0.2,0,0,0.2,0.1,0.5
"MO_501_00",42,"ファフニール","LeftWing_04",False,True,0,0,0,0,-1,0,-2,3,1,1,1,0.5,2,1,2,1,1,0.2,0.05,0.05,0.05,0.2,0,0,0.2,0.1,0.5
