// UnitPowerId,UnitId,Lv,ParamHp,ParamStr,ParamVit,ParamInt,Exp
14,10000000,1,540,238,33,267,10
15,10000000,10,1710,557,105,507,19
16,10000000,99,19440,3802,594,2880,108
17,10000000,999,181440,35482,5544,26880,1008
18,10000001,1,540,238,33,267,10
19,10000001,10,1710,557,105,507,19
20,10000001,99,19440,3802,594,2880,108
21,10000001,999,181440,35482,5544,26880,1008
22,10000002,1,540,238,33,267,10
23,10000002,10,1710,557,105,507,19
24,10000002,99,19440,3802,594,2880,108
25,10000002,999,181440,35482,5544,26880,1008
26,10000100,1,594,260,36,267,10
27,10000100,10,1881,608,114,507,19
28,10000100,99,21384,4147,648,2880,108
29,10000100,999,199584,38707,6048,26880,1008
30,10000101,1,594,260,36,267,10
31,10000101,10,1881,608,114,507,19
32,10000101,99,21384,4147,648,2880,108
33,10000101,999,199584,38707,6048,26880,1008
34,10000102,1,594,260,36,267,10
35,10000102,10,1881,608,114,507,19
36,10000102,99,21384,4147,648,2880,108
37,10000102,999,199584,38707,6048,26880,1008
38,10000200,1,540,152,33,267,10
39,10000200,10,1710,355,105,507,19
40,10000200,99,19440,2419,594,2880,108
41,10000200,999,181440,22579,5544,26880,1008
42,10000201,1,540,152,33,267,10
43,10000201,10,1710,355,105,507,19
44,10000201,99,19440,2419,594,2880,108
45,10000201,999,181440,22579,5544,26880,1008
46,10000202,1,540,152,33,267,10
47,10000202,10,1710,355,105,507,19
48,10000202,99,19440,2419,594,2880,108
49,10000202,999,181440,22579,5544,26880,1008
50,10000203,1,540,152,33,267,10
51,10000203,10,1710,355,105,507,19
52,10000203,99,19440,2419,594,2880,108
53,10000203,999,181440,22579,5544,26880,1008
54,10000204,1,540,152,33,267,10
55,10000204,10,1710,355,105,507,19
56,10000204,99,19440,2419,594,2880,108
57,10000204,999,181440,22579,5544,26880,1008
58,10000300,1,594,217,36,267,10
59,10000300,10,1881,507,114,507,19
60,10000300,99,21384,3456,648,2880,108
61,10000300,999,199584,32256,6048,26880,1008
62,10000301,1,594,217,36,267,10
63,10000301,10,1881,507,114,507,19
64,10000301,99,21384,3456,648,2880,108
65,10000301,999,199584,32256,6048,26880,1008
66,10000302,1,594,217,36,267,10
67,10000302,10,1881,507,114,507,19
68,10000302,99,21384,3456,648,2880,108
69,10000302,999,199584,32256,6048,26880,1008
70,10010000,1,432,173,18,267,10
71,10010000,10,1368,405,57,507,19
72,10010000,99,15552,2765,324,2880,108
73,10010000,999,145152,25805,3024,26880,1008
74,10010001,1,540,195,18,267,10
75,10010001,10,1710,456,57,507,19
76,10010001,99,19440,3110,324,2880,108
77,10010001,999,181440,29030,3024,26880,1008
78,10010002,1,432,173,18,267,10
79,10010002,10,1368,405,57,507,19
80,10010002,99,15552,2765,324,2880,108
81,10010002,999,145152,25805,3024,26880,1008
82,10010100,1,432,173,18,267,10
83,10010100,10,1368,405,57,507,19
84,10010100,99,15552,2765,324,2880,108
85,10010100,999,145152,25805,3024,26880,1008
86,10010101,1,540,195,18,267,10
87,10010101,10,1710,456,57,507,19
88,10010101,99,19440,3110,324,2880,108
89,10010101,999,181440,29030,3024,26880,1008
90,10010102,1,432,173,18,267,10
91,10010102,10,1368,405,57,507,19
92,10010102,99,15552,2765,324,2880,108
93,10010102,999,145152,25805,3024,26880,1008
94,10010200,1,432,173,18,267,10
95,10010200,10,1368,405,57,507,19
96,10010200,99,15552,2765,324,2880,108
97,10010200,999,145152,25805,3024,26880,1008
98,10010201,1,540,195,18,267,10
99,10010201,10,1710,456,57,507,19
100,10010201,99,19440,3110,324,2880,108
101,10010201,999,181440,29030,3024,26880,1008
102,10010202,1,432,173,18,267,10
103,10010202,10,1368,405,57,507,19
104,10010202,99,15552,2765,324,2880,108
105,10010202,999,145152,25805,3024,26880,1008
106,10010300,1,432,260,18,267,10
107,10010300,10,1368,608,57,507,19
108,10010300,99,15552,4147,324,2880,108
109,10010300,999,145152,38707,3024,26880,1008
110,10010301,1,540,282,18,267,10
111,10010301,10,1710,659,57,507,19
112,10010301,99,19440,4493,324,2880,108
113,10010301,999,181440,41933,3024,26880,1008
114,10010302,1,432,260,18,267,10
115,10010302,10,1368,608,57,507,19
116,10010302,99,15552,4147,324,2880,108
117,10010302,999,145152,38707,3024,26880,1008
118,10020000,1,324,130,18,160,10
119,10020000,10,1026,304,57,304,19
120,10020000,99,11664,2074,324,1728,108
121,10020000,999,108864,19354,3024,16128,1008
122,10020001,1,432,152,18,187,10
123,10020001,10,1368,355,57,355,19
124,10020001,99,15552,2419,324,2016,108
125,10020001,999,145152,22579,3024,18816,1008
126,10020002,1,324,130,18,160,10
127,10020002,10,1026,304,57,304,19
128,10020002,99,11664,2074,324,1728,108
129,10020002,999,108864,19354,3024,16128,1008
130,10020100,1,324,130,18,160,10
131,10020100,10,1026,304,57,304,19
132,10020100,99,11664,2074,324,1728,108
133,10020100,999,108864,19354,3024,16128,1008
134,10020101,1,432,152,18,187,10
135,10020101,10,1368,355,57,355,19
136,10020101,99,15552,2419,324,2016,108
137,10020101,999,145152,22579,3024,18816,1008
138,10020102,1,324,130,18,160,10
139,10020102,10,1026,304,57,304,19
140,10020102,99,11664,2074,324,1728,108
141,10020102,999,108864,19354,3024,16128,1008
142,10020200,1,324,130,18,160,10
143,10020200,10,1026,304,57,304,19
144,10020200,99,11664,2074,324,1728,108
145,10020200,999,108864,19354,3024,16128,1008
146,10020201,1,432,152,18,187,10
147,10020201,10,1368,355,57,355,19
148,10020201,99,15552,2419,324,2016,108
149,10020201,999,145152,22579,3024,18816,1008
150,10020202,1,324,130,18,160,10
151,10020202,10,1026,304,57,304,19
152,10020202,99,11664,2074,324,1728,108
153,10020202,999,108864,19354,3024,16128,1008
154,10020300,1,324,130,18,160,10
155,10020300,10,1026,304,57,304,19
156,10020300,99,11664,2074,324,1728,108
157,10020300,999,108864,19354,3024,16128,1008
158,10020301,1,432,152,18,187,10
159,10020301,10,1368,355,57,355,19
160,10020301,99,15552,2419,324,2016,108
161,10020301,999,145152,22579,3024,18816,1008
162,10020302,1,324,130,18,160,10
163,10020302,10,1026,304,57,304,19
164,10020302,99,11664,2074,324,1728,108
165,10020302,999,108864,19354,3024,16128,1008
166,10020400,1,324,130,18,160,10
167,10020400,10,1026,304,57,304,19
168,10020400,99,11664,2074,324,1728,108
169,10020400,999,108864,19354,3024,16128,1008
170,10020401,1,432,152,18,187,10
171,10020401,10,1368,355,57,355,19
172,10020401,99,15552,2419,324,2016,108
173,10020401,999,145152,22579,3024,18816,1008
174,10020402,1,324,130,18,160,10
175,10020402,10,1026,304,57,304,19
176,10020402,99,11664,2074,324,1728,108
177,10020402,999,108864,19354,3024,16128,1008
178,10030000,1,432,217,30,267,10
179,10030000,10,1368,507,95,507,19
180,10030000,99,15552,3456,540,2880,108
181,10030000,999,145152,32256,5040,26880,1008
182,10030001,1,540,238,30,267,10
183,10030001,10,1710,557,95,507,19
184,10030001,99,19440,3802,540,2880,108
185,10030001,999,181440,35482,5040,26880,1008
186,10030002,1,432,217,30,267,10
187,10030002,10,1368,507,95,507,19
188,10030002,99,15552,3456,540,2880,108
189,10030002,999,145152,32256,5040,26880,1008
190,10030003,1,432,217,30,267,10
191,10030003,10,1368,507,95,507,19
192,10030003,99,15552,3456,540,2880,108
193,10030003,999,145152,32256,5040,26880,1008
194,10030004,1,432,217,30,267,10
195,10030004,10,1368,507,95,507,19
